#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    45   0.132147E+04   0.130865E+01   0.863964E-03   0.130865E+01   0.840751E-01  -0.379107E-06   0.863964E-03  -0.379107E-06   0.136853E-06
    46   0.134081E+04   0.118519E+01   0.846150E-03   0.118519E+01   0.903515E-01  -0.394700E-06   0.846150E-03  -0.394700E-06   0.136429E-06
    47   0.136032E+04   0.104939E+01   0.828891E-03   0.104939E+01   0.969273E-01  -0.373881E-06   0.828891E-03  -0.373881E-06   0.135982E-06
    48   0.138000E+04   0.900634E+00   0.812160E-03   0.900634E+00   0.103794E+00  -0.344710E-06   0.812160E-03  -0.344710E-06   0.135514E-06
    49   0.139981E+04   0.738374E+00   0.795930E-03   0.738374E+00   0.110943E+00  -0.335244E-06   0.795930E-03  -0.335244E-06   0.135026E-06
    50   0.141982E+04   0.562214E+00   0.780173E-03   0.562214E+00   0.118375E+00  -0.373540E-06   0.780173E-03  -0.373540E-06   0.134519E-06
    51   0.144009E+04   0.372064E+00   0.764871E-03   0.372064E+00   0.126096E+00  -0.477239E-06   0.764871E-03  -0.477239E-06   0.133996E-06
    52   0.146056E+04   0.168873E+00   0.750037E-03   0.168873E+00   0.134108E+00  -0.622308E-06   0.750037E-03  -0.622308E-06   0.133457E-06
    53   0.148116E+04  -0.463560E-01   0.735690E-03  -0.463560E-01   0.142415E+00  -0.774297E-06   0.735690E-03  -0.774297E-06   0.132904E-06
    54   0.150188E+04  -0.273481E+00   0.721850E-03  -0.273481E+00   0.151018E+00  -0.898755E-06   0.721850E-03  -0.898755E-06   0.132338E-06
    55   0.152271E+04  -0.512730E+00   0.708539E-03  -0.512730E+00   0.159920E+00  -0.961233E-06   0.708539E-03  -0.961233E-06   0.131759E-06
    56   0.154375E+04  -0.764972E+00   0.695763E-03  -0.764972E+00   0.169120E+00  -0.937851E-06   0.695763E-03  -0.937851E-06   0.131168E-06
    57   0.156511E+04  -0.103109E+01   0.683479E-03  -0.103109E+01   0.178614E+00  -0.847022E-06   0.683479E-03  -0.847022E-06   0.130567E-06
    58   0.158676E+04  -0.131128E+01   0.671629E-03  -0.131128E+01   0.188400E+00  -0.717727E-06   0.671629E-03  -0.717727E-06   0.129955E-06
    59   0.160859E+04  -0.160547E+01   0.660158E-03  -0.160547E+01   0.198478E+00  -0.578951E-06   0.660158E-03  -0.578951E-06   0.129333E-06
    60   0.163060E+04  -0.191315E+01   0.649009E-03  -0.191315E+01   0.208840E+00  -0.459675E-06   0.649009E-03  -0.459675E-06   0.128702E-06
    61   0.165278E+04  -0.223384E+01   0.638129E-03  -0.223384E+01   0.219480E+00  -0.383623E-06   0.638129E-03  -0.383623E-06   0.128063E-06
    62   0.167515E+04  -0.256757E+01   0.627491E-03  -0.256757E+01   0.230393E+00  -0.353479E-06   0.627491E-03  -0.353479E-06   0.127416E-06
    63   0.169771E+04  -0.291445E+01   0.617069E-03  -0.291445E+01   0.241577E+00  -0.366668E-06   0.617069E-03  -0.366668E-06   0.126762E-06
    64   0.172049E+04  -0.327463E+01   0.606839E-03  -0.327463E+01   0.253031E+00  -0.420614E-06   0.606839E-03  -0.420614E-06   0.126103E-06
    65   0.174350E+04  -0.364828E+01   0.596777E-03  -0.364828E+01   0.264753E+00  -0.512743E-06   0.596777E-03  -0.512743E-06   0.125439E-06
    66   0.176677E+04  -0.403564E+01   0.586870E-03  -0.403564E+01   0.276736E+00  -0.637705E-06   0.586870E-03  -0.637705E-06   0.124771E-06
    67   0.179030E+04  -0.443615E+01   0.577151E-03  -0.443615E+01   0.288973E+00  -0.779053E-06   0.577151E-03  -0.779053E-06   0.124100E-06
    68   0.181404E+04  -0.484911E+01   0.567664E-03  -0.484911E+01   0.301456E+00  -0.917567E-06   0.567664E-03  -0.917567E-06   0.123427E-06
    69   0.183795E+04  -0.527382E+01   0.558453E-03  -0.527382E+01   0.314176E+00  -0.103403E-05   0.558453E-03  -0.103403E-05   0.122751E-06
    70   0.186200E+04  -0.570979E+01   0.549563E-03  -0.570979E+01   0.327127E+00  -0.110921E-05   0.549563E-03  -0.110921E-05   0.122074E-06
    71   0.188616E+04  -0.615682E+01   0.541024E-03  -0.615682E+01   0.340304E+00  -0.112930E-05   0.541024E-03  -0.112930E-05   0.121395E-06
