#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.185928E-03   0.197798E+08   0.197796E+08   0.223510E+08   0.222688E+08   0.197700E+08   0.197797E+08   0.197798E+08   0.197854E+08  -0.472886E+00   0.104429E+08   0.104429E+08   0.873669E+02
   0.205300E-03   0.197781E+08   0.197779E+08   0.215468E+08   0.214494E+08   0.197657E+08   0.197780E+08   0.197781E+08   0.197834E+08  -0.472835E+00   0.104420E+08   0.104419E+08   0.954787E+02
   0.226690E-03   0.197760E+08   0.197758E+08   0.206026E+08   0.204880E+08   0.197604E+08   0.197759E+08   0.197760E+08   0.197811E+08  -0.472775E+00   0.104409E+08   0.104408E+08   0.104113E+03
   0.250309E-03   0.197735E+08   0.197733E+08   0.195036E+08   0.193696E+08   0.197540E+08   0.197734E+08   0.197735E+08   0.197783E+08  -0.472701E+00   0.104395E+08   0.104395E+08   0.113225E+03
   0.276388E-03   0.197705E+08   0.197702E+08   0.182376E+08   0.180826E+08   0.197463E+08   0.197703E+08   0.197704E+08   0.197749E+08  -0.472613E+00   0.104379E+08   0.104378E+08   0.122740E+03
   0.305184E-03   0.197668E+08   0.197664E+08   0.167982E+08   0.166210E+08   0.197368E+08   0.197666E+08   0.197667E+08   0.197708E+08  -0.472507E+00   0.104359E+08   0.104358E+08   0.132540E+03
   0.336981E-03   0.197624E+08   0.197619E+08   0.151878E+08   0.149882E+08   0.197254E+08   0.197621E+08   0.197623E+08   0.197659E+08  -0.472381E+00   0.104335E+08   0.104334E+08   0.142461E+03
   0.372091E-03   0.197570E+08   0.197565E+08   0.134223E+08   0.132014E+08   0.197115E+08   0.197567E+08   0.197569E+08   0.197601E+08  -0.472230E+00   0.104306E+08   0.104305E+08   0.152282E+03
   0.410858E-03   0.197506E+08   0.197500E+08   0.115349E+08   0.112961E+08   0.196947E+08   0.197502E+08   0.197505E+08   0.197531E+08  -0.472050E+00   0.104272E+08   0.104270E+08   0.161717E+03
   0.453665E-03   0.197429E+08   0.197421E+08   0.958087E+07   0.933002E+07   0.196745E+08   0.197424E+08   0.197427E+08   0.197448E+08  -0.471837E+00   0.104230E+08   0.104228E+08   0.170418E+03
   0.500932E-03   0.197336E+08   0.197328E+08   0.763881E+07   0.738475E+07   0.196500E+08   0.197331E+08   0.197335E+08   0.197350E+08  -0.471586E+00   0.104180E+08   0.104177E+08   0.177978E+03
