#    L    TT             EE             BB             TE             PP             TP             EP          
   125   0.352589E+04   0.106420E+01   0.000000E+00  -0.386032E+02   0.867142E-07   0.278626E-03  -0.109908E-05
   126   0.356049E+04   0.107113E+01   0.000000E+00  -0.391123E+02   0.861810E-07   0.275767E-03  -0.111939E-05
   127   0.359512E+04   0.107760E+01   0.000000E+00  -0.396081E+02   0.856519E-07   0.272958E-03  -0.113874E-05
   128   0.362977E+04   0.108362E+01   0.000000E+00  -0.400900E+02   0.851269E-07   0.270199E-03  -0.115679E-05
   129   0.366445E+04   0.108918E+01   0.000000E+00  -0.405575E+02   0.846061E-07   0.267489E-03  -0.117318E-05
   130   0.369913E+04   0.109425E+01   0.000000E+00  -0.410101E+02   0.840894E-07   0.264828E-03  -0.118758E-05
   131   0.373380E+04   0.109885E+01   0.000000E+00  -0.414473E+02   0.835768E-07   0.262218E-03  -0.119972E-05
   132   0.376848E+04   0.110298E+01   0.000000E+00  -0.418685E+02   0.830682E-07   0.259656E-03  -0.120961E-05
   133   0.380313E+04   0.110661E+01   0.000000E+00  -0.422733E+02   0.825638E-07   0.257141E-03  -0.121736E-05
   134   0.383777E+04   0.110976E+01   0.000000E+00  -0.426611E+02   0.820633E-07   0.254671E-03  -0.122307E-05
   135   0.387236E+04   0.111241E+01   0.000000E+00  -0.430318E+02   0.815669E-07   0.252245E-03  -0.122684E-05
   136   0.390693E+04   0.111458E+01   0.000000E+00  -0.433845E+02   0.810744E-07   0.249862E-03  -0.122878E-05
   137   0.394144E+04   0.111624E+01   0.000000E+00  -0.437189E+02   0.805859E-07   0.247519E-03  -0.122898E-05
   138   0.397590E+04   0.111741E+01   0.000000E+00  -0.440346E+02   0.801013E-07   0.245216E-03  -0.122754E-05
   139   0.401030E+04   0.111809E+01   0.000000E+00  -0.443311E+02   0.796206E-07   0.242951E-03  -0.122457E-05
   140   0.404463E+04   0.111827E+01   0.000000E+00  -0.446081E+02   0.791438E-07   0.240722E-03  -0.122016E-05
