#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.187091E-03   0.198770E+08   0.198769E+08   0.223589E+08   0.222728E+08   0.000000E+00   0.198770E+08   0.198770E+08   0.198845E+08  -0.470728E+00   0.103785E+08   0.103785E+08   0.901567E+02
   0.206674E-03   0.198749E+08   0.198748E+08   0.215282E+08   0.214261E+08   0.000000E+00   0.198749E+08   0.198749E+08   0.198821E+08  -0.470666E+00   0.103774E+08   0.103773E+08   0.985446E+02
   0.228306E-03   0.198724E+08   0.198722E+08   0.205532E+08   0.204331E+08   0.000000E+00   0.198723E+08   0.198723E+08   0.198792E+08  -0.470590E+00   0.103760E+08   0.103760E+08   0.107468E+03
   0.252203E-03   0.198693E+08   0.198690E+08   0.194191E+08   0.192788E+08   0.000000E+00   0.198692E+08   0.198692E+08   0.198757E+08  -0.470499E+00   0.103744E+08   0.103743E+08   0.116877E+03
   0.278601E-03   0.198655E+08   0.198652E+08   0.181141E+08   0.179520E+08   0.000000E+00   0.198655E+08   0.198655E+08   0.198715E+08  -0.470390E+00   0.103724E+08   0.103723E+08   0.126689E+03
   0.307762E-03   0.198610E+08   0.198606E+08   0.166328E+08   0.164477E+08   0.000000E+00   0.198609E+08   0.198609E+08   0.198665E+08  -0.470259E+00   0.103700E+08   0.103699E+08   0.136779E+03
   0.339976E-03   0.198555E+08   0.198551E+08   0.149796E+08   0.147714E+08   0.000000E+00   0.198555E+08   0.198555E+08   0.198604E+08  -0.470102E+00   0.103671E+08   0.103669E+08   0.146969E+03
   0.375561E-03   0.198489E+08   0.198484E+08   0.131729E+08   0.129433E+08   0.000000E+00   0.198488E+08   0.198488E+08   0.198532E+08  -0.469916E+00   0.103636E+08   0.103634E+08   0.157021E+03
   0.414871E-03   0.198410E+08   0.198404E+08   0.112501E+08   0.110029E+08   0.000000E+00   0.198409E+08   0.198409E+08   0.198446E+08  -0.469695E+00   0.103594E+08   0.103592E+08   0.166633E+03
   0.458296E-03   0.198315E+08   0.198308E+08   0.927146E+07   0.901319E+07   0.000000E+00   0.198314E+08   0.198314E+08   0.198344E+08  -0.469434E+00   0.103543E+08   0.103541E+08   0.175436E+03
   0.506265E-03   0.198202E+08   0.198193E+08   0.732108E+07   0.706147E+07   0.000000E+00   0.198200E+08   0.198200E+08   0.198224E+08  -0.469127E+00   0.103483E+08   0.103480E+08   0.183001E+03
