#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.126380E+04   0.138277E+01   0.844030E-03   0.138277E+01   0.648463E-01  -0.151900E-06   0.844030E-03  -0.151900E-06   0.126226E-06
    44   0.128313E+04   0.129014E+01   0.826192E-03   0.129014E+01   0.699778E-01  -0.163932E-06   0.826192E-03  -0.163932E-06   0.125819E-06
    45   0.130270E+04   0.118671E+01   0.808805E-03   0.118671E+01   0.753638E-01  -0.196933E-06   0.808805E-03  -0.196933E-06   0.125388E-06
    46   0.132246E+04   0.107172E+01   0.791760E-03   0.107172E+01   0.810061E-01  -0.239858E-06   0.791760E-03  -0.239858E-06   0.124935E-06
    47   0.134241E+04   0.944647E+00   0.775081E-03   0.944647E+00   0.869094E-01  -0.286158E-06   0.775081E-03  -0.286158E-06   0.124463E-06
    48   0.136252E+04   0.805024E+00   0.758827E-03   0.805024E+00   0.930719E-01  -0.330410E-06   0.758827E-03  -0.330410E-06   0.123972E-06
    49   0.138279E+04   0.652446E+00   0.743055E-03   0.652446E+00   0.994912E-01  -0.367194E-06   0.743055E-03  -0.367194E-06   0.123464E-06
    50   0.140327E+04   0.486652E+00   0.727826E-03   0.486652E+00   0.106176E+00  -0.391087E-06   0.727826E-03  -0.391087E-06   0.122941E-06
    51   0.142403E+04   0.307664E+00   0.713178E-03   0.307664E+00   0.113135E+00  -0.399631E-06   0.713178E-03  -0.399631E-06   0.122404E-06
    52   0.144501E+04   0.116435E+00   0.699080E-03   0.116435E+00   0.120370E+00  -0.402226E-06   0.699080E-03  -0.402226E-06   0.121854E-06
    53   0.146613E+04  -0.860573E-01   0.685481E-03  -0.860573E-01   0.127878E+00  -0.411236E-06   0.685481E-03  -0.411236E-06   0.121291E-06
    54   0.148735E+04  -0.299695E+00   0.672331E-03  -0.299695E+00   0.135657E+00  -0.439025E-06   0.672331E-03  -0.439025E-06   0.120718E-06
    55   0.150868E+04  -0.524729E+00   0.659577E-03  -0.524729E+00   0.143707E+00  -0.497957E-06   0.659577E-03  -0.497957E-06   0.120134E-06
    56   0.153020E+04  -0.762039E+00   0.647181E-03  -0.762039E+00   0.152021E+00  -0.594085E-06   0.647181E-03  -0.594085E-06   0.119540E-06
    57   0.155204E+04  -0.101245E+01   0.635146E-03  -0.101245E+01   0.160601E+00  -0.708217E-06   0.635146E-03  -0.708217E-06   0.118938E-06
    58   0.157414E+04  -0.127610E+01   0.623486E-03  -0.127610E+01   0.169449E+00  -0.814851E-06   0.623486E-03  -0.814851E-06   0.118327E-06
    59   0.159643E+04  -0.155284E+01   0.612217E-03  -0.155284E+01   0.178570E+00  -0.888486E-06   0.612217E-03  -0.888486E-06   0.117709E-06
    60   0.161890E+04  -0.184209E+01   0.601353E-03  -0.184209E+01   0.187961E+00  -0.903617E-06   0.601353E-03  -0.903617E-06   0.117083E-06
    61   0.164156E+04  -0.214335E+01   0.590897E-03  -0.214335E+01   0.197620E+00  -0.844010E-06   0.590897E-03  -0.844010E-06   0.116450E-06
    62   0.166440E+04  -0.245671E+01   0.580809E-03  -0.245671E+01   0.207540E+00  -0.730491E-06   0.580809E-03  -0.730491E-06   0.115812E-06
    63   0.168745E+04  -0.278243E+01   0.571036E-03  -0.278243E+01   0.217718E+00  -0.593152E-06   0.571036E-03  -0.593152E-06   0.115168E-06
    64   0.171070E+04  -0.312076E+01   0.561527E-03  -0.312076E+01   0.228147E+00  -0.462088E-06   0.561527E-03  -0.462088E-06   0.114520E-06
    65   0.173417E+04  -0.347202E+01   0.552229E-03  -0.347202E+01   0.238826E+00  -0.367391E-06   0.552229E-03  -0.367391E-06   0.113869E-06
    66   0.175790E+04  -0.383650E+01   0.543100E-03  -0.383650E+01   0.249745E+00  -0.332107E-06   0.543100E-03  -0.332107E-06   0.113216E-06
    67   0.178186E+04  -0.421365E+01   0.534135E-03  -0.421365E+01   0.260900E+00  -0.351098E-06   0.534135E-03  -0.351098E-06   0.112561E-06
    68   0.180603E+04  -0.460271E+01   0.525338E-03  -0.460271E+01   0.272283E+00  -0.412178E-06   0.525338E-03  -0.412178E-06   0.111904E-06
    69   0.183035E+04  -0.500293E+01   0.516714E-03  -0.500293E+01   0.283891E+00  -0.503161E-06   0.516714E-03  -0.503161E-06   0.111246E-06
    70   0.185480E+04  -0.541375E+01   0.508266E-03  -0.541375E+01   0.295719E+00  -0.611863E-06   0.508266E-03  -0.611863E-06   0.110587E-06
    71   0.187936E+04  -0.583497E+01   0.500002E-03  -0.583497E+01   0.307765E+00  -0.726665E-06   0.500002E-03  -0.726665E-06   0.109928E-06
    72   0.190413E+04  -0.626753E+01   0.491938E-03  -0.626753E+01   0.320028E+00  -0.838217E-06   0.491938E-03  -0.838217E-06   0.109269E-06
    73   0.192925E+04  -0.671248E+01   0.484094E-03  -0.671248E+01   0.332503E+00  -0.937738E-06   0.484094E-03  -0.937738E-06   0.108609E-06
    74   0.195472E+04  -0.716976E+01   0.476490E-03  -0.716976E+01   0.345180E+00  -0.101645E-05   0.476490E-03  -0.101645E-05   0.107949E-06
    75   0.198054E+04  -0.763901E+01   0.469146E-03  -0.763901E+01   0.358048E+00  -0.106556E-05   0.469146E-03  -0.106556E-05   0.107289E-06
    76   0.200667E+04  -0.811974E+01   0.462072E-03  -0.811974E+01   0.371093E+00  -0.107898E-05   0.462072E-03  -0.107898E-05   0.106628E-06
    77   0.203298E+04  -0.861053E+01   0.455255E-03  -0.861053E+01   0.384309E+00  -0.106139E-05   0.455255E-03  -0.106139E-05   0.105968E-06
    78   0.205944E+04  -0.911094E+01   0.448672E-03  -0.911094E+01   0.397686E+00  -0.102016E-05   0.448672E-03  -0.102016E-05   0.105308E-06
    79   0.208610E+04  -0.962082E+01   0.442301E-03  -0.962082E+01   0.411215E+00  -0.962650E-06   0.442301E-03  -0.962650E-06   0.104649E-06
    80   0.211296E+04  -0.101402E+02   0.436118E-03  -0.101402E+02   0.424889E+00  -0.896225E-06   0.436118E-03  -0.896225E-06   0.103991E-06
    81   0.214005E+04  -0.106688E+02   0.430104E-03  -0.106688E+02   0.438698E+00  -0.827611E-06   0.430104E-03  -0.827611E-06   0.103335E-06
    82   0.216737E+04  -0.112063E+02   0.424243E-03  -0.112063E+02   0.452632E+00  -0.760973E-06   0.424243E-03  -0.760973E-06   0.102680E-06
    83   0.219492E+04  -0.117526E+02   0.418520E-03  -0.117526E+02   0.466679E+00  -0.699833E-06   0.418520E-03  -0.699833E-06   0.102028E-06
    84   0.222270E+04  -0.123071E+02   0.412922E-03  -0.123071E+02   0.480828E+00  -0.647713E-06   0.412922E-03  -0.647713E-06   0.101377E-06
    85   0.225070E+04  -0.128696E+02   0.407434E-03  -0.128696E+02   0.495068E+00  -0.608135E-06   0.407434E-03  -0.608135E-06   0.100729E-06
    86   0.227893E+04  -0.134398E+02   0.402046E-03  -0.134398E+02   0.509388E+00  -0.583549E-06   0.402046E-03  -0.583549E-06   0.100084E-06
    87   0.230735E+04  -0.140171E+02   0.396753E-03  -0.140171E+02   0.523778E+00  -0.572119E-06   0.396753E-03  -0.572119E-06   0.994421E-07
    88   0.233595E+04  -0.146011E+02   0.391556E-03  -0.146011E+02   0.538228E+00  -0.570933E-06   0.391556E-03  -0.570933E-06   0.988028E-07
    89   0.236472E+04  -0.151913E+02   0.386454E-03  -0.151913E+02   0.552728E+00  -0.577083E-06   0.386454E-03  -0.577083E-06   0.981665E-07
    90   0.239367E+04  -0.157874E+02   0.381446E-03  -0.157874E+02   0.567263E+00  -0.587658E-06   0.381446E-03  -0.587658E-06   0.975334E-07
    91   0.242281E+04  -0.163890E+02   0.376532E-03  -0.163890E+02   0.581823E+00  -0.600213E-06   0.376532E-03  -0.600213E-06   0.969035E-07
    92   0.245213E+04  -0.169959E+02   0.371711E-03  -0.169959E+02   0.596394E+00  -0.614163E-06   0.371711E-03  -0.614163E-06   0.962769E-07
    93   0.248166E+04  -0.176077E+02   0.366979E-03  -0.176077E+02   0.610964E+00  -0.629385E-06   0.366979E-03  -0.629385E-06   0.956537E-07
    94   0.251138E+04  -0.182241E+02   0.362336E-03  -0.182241E+02   0.625521E+00  -0.645758E-06   0.362336E-03  -0.645758E-06   0.950338E-07
    95   0.254132E+04  -0.188447E+02   0.357780E-03  -0.188447E+02   0.640051E+00  -0.663162E-06   0.357780E-03  -0.663162E-06   0.944174E-07
    96   0.257146E+04  -0.194692E+02   0.353308E-03  -0.194692E+02   0.654542E+00  -0.681474E-06   0.353308E-03  -0.681474E-06   0.938045E-07
    97   0.260181E+04  -0.200971E+02   0.348920E-03  -0.200971E+02   0.668980E+00  -0.700573E-06   0.348920E-03  -0.700573E-06   0.931951E-07
    98   0.263237E+04  -0.207280E+02   0.344612E-03  -0.207280E+02   0.683353E+00  -0.720339E-06   0.344612E-03  -0.720339E-06   0.925892E-07
    99   0.266313E+04  -0.213615E+02   0.340384E-03  -0.213615E+02   0.697647E+00  -0.740648E-06   0.340384E-03  -0.740648E-06   0.919870E-07
   100   0.269410E+04  -0.219972E+02   0.336232E-03  -0.219972E+02   0.711851E+00  -0.761381E-06   0.336232E-03  -0.761381E-06   0.913884E-07
   101   0.272528E+04  -0.226345E+02   0.332157E-03  -0.226345E+02   0.725954E+00  -0.782416E-06   0.332157E-03  -0.782416E-06   0.907936E-07
   102   0.275666E+04  -0.232733E+02   0.328155E-03  -0.232733E+02   0.739933E+00  -0.803631E-06   0.328155E-03  -0.803631E-06   0.902025E-07
   103   0.278823E+04  -0.239127E+02   0.324224E-03  -0.239127E+02   0.753792E+00  -0.824905E-06   0.324224E-03  -0.824905E-06   0.896151E-07
   104   0.282000E+04  -0.245525E+02   0.320364E-03  -0.245525E+02   0.767501E+00  -0.846116E-06   0.320364E-03  -0.846116E-06   0.890317E-07
   105   0.285195E+04  -0.251921E+02   0.316572E-03  -0.251921E+02   0.781055E+00  -0.867144E-06   0.316572E-03  -0.867144E-06   0.884520E-07
   106   0.288408E+04  -0.258310E+02   0.312846E-03  -0.258310E+02   0.794441E+00  -0.887867E-06   0.312846E-03  -0.887867E-06   0.878764E-07
   107   0.291639E+04  -0.264686E+02   0.309184E-03  -0.264686E+02   0.807653E+00  -0.908163E-06   0.309184E-03  -0.908163E-06   0.873047E-07
   108   0.294886E+04  -0.271045E+02   0.305585E-03  -0.271045E+02   0.820670E+00  -0.927911E-06   0.305585E-03  -0.927911E-06   0.867370E-07
   109   0.298150E+04  -0.277381E+02   0.302047E-03  -0.277381E+02   0.833487E+00  -0.946990E-06   0.302047E-03  -0.946990E-06   0.861734E-07
   110   0.301430E+04  -0.283690E+02   0.298567E-03  -0.283690E+02   0.846083E+00  -0.965279E-06   0.298567E-03  -0.965279E-06   0.856138E-07
   111   0.304724E+04  -0.289968E+02   0.295144E-03  -0.289968E+02   0.858451E+00  -0.982673E-06   0.295144E-03  -0.982673E-06   0.850584E-07
   112   0.308034E+04  -0.296206E+02   0.291779E-03  -0.296206E+02   0.870585E+00  -0.999145E-06   0.291779E-03  -0.999145E-06   0.845072E-07
   113   0.311357E+04  -0.302402E+02   0.288469E-03  -0.302402E+02   0.882463E+00  -0.101468E-05   0.288469E-03  -0.101468E-05   0.839601E-07
   114   0.314694E+04  -0.308549E+02   0.285215E-03  -0.308549E+02   0.894069E+00  -0.102927E-05   0.285215E-03  -0.102927E-05   0.834171E-07
   115   0.318043E+04  -0.314642E+02   0.282016E-03  -0.314642E+02   0.905404E+00  -0.104291E-05   0.282016E-03  -0.104291E-05   0.828783E-07
   116   0.321405E+04  -0.320677E+02   0.278871E-03  -0.320677E+02   0.916452E+00  -0.105558E-05   0.278871E-03  -0.105558E-05   0.823435E-07
   117   0.324779E+04  -0.326647E+02   0.275781E-03  -0.326647E+02   0.927193E+00  -0.106727E-05   0.275781E-03  -0.106727E-05   0.818129E-07
   118   0.328163E+04  -0.332547E+02   0.272745E-03  -0.332547E+02   0.937624E+00  -0.107797E-05   0.272745E-03  -0.107797E-05   0.812864E-07
   119   0.331557E+04  -0.338373E+02   0.269762E-03  -0.338373E+02   0.947733E+00  -0.108767E-05   0.269762E-03  -0.108767E-05   0.807639E-07
   120   0.334960E+04  -0.344118E+02   0.266833E-03  -0.344118E+02   0.957510E+00  -0.109635E-05   0.266833E-03  -0.109635E-05   0.802456E-07
   121   0.338372E+04  -0.349778E+02   0.263955E-03  -0.349778E+02   0.966942E+00  -0.110402E-05   0.263955E-03  -0.110402E-05   0.797313E-07
   122   0.341791E+04  -0.355348E+02   0.261130E-03  -0.355348E+02   0.976021E+00  -0.111065E-05   0.261130E-03  -0.111065E-05   0.792211E-07
   123   0.345216E+04  -0.360822E+02   0.258357E-03  -0.360822E+02   0.984740E+00  -0.111623E-05   0.258357E-03  -0.111623E-05   0.787149E-07
   124   0.348648E+04  -0.366194E+02   0.255634E-03  -0.366194E+02   0.993083E+00  -0.112076E-05   0.255634E-03  -0.112076E-05   0.782128E-07
   125   0.352085E+04  -0.371461E+02   0.252962E-03  -0.371461E+02   0.100105E+01  -0.112422E-05   0.252962E-03  -0.112422E-05   0.777148E-07
   126   0.355526E+04  -0.376618E+02   0.250341E-03  -0.376618E+02   0.100863E+01  -0.112661E-05   0.250341E-03  -0.112661E-05   0.772207E-07
   127   0.358970E+04  -0.381658E+02   0.247769E-03  -0.381658E+02   0.101582E+01  -0.112790E-05   0.247769E-03  -0.112790E-05   0.767307E-07
   128   0.362417E+04  -0.386577E+02   0.245247E-03  -0.386577E+02   0.102260E+01  -0.112809E-05   0.245247E-03  -0.112809E-05   0.762448E-07
   129   0.365866E+04  -0.391371E+02   0.242774E-03  -0.391371E+02   0.102898E+01  -0.112717E-05   0.242774E-03  -0.112717E-05   0.757628E-07
   130   0.369315E+04  -0.396034E+02   0.240349E-03  -0.396034E+02   0.103494E+01  -0.112513E-05   0.240349E-03  -0.112513E-05   0.752849E-07
   131   0.372764E+04  -0.400562E+02   0.237972E-03  -0.400562E+02   0.104048E+01  -0.112197E-05   0.237972E-03  -0.112197E-05   0.748109E-07
   132   0.376212E+04  -0.404949E+02   0.235642E-03  -0.404949E+02   0.104559E+01  -0.111775E-05   0.235642E-03  -0.111775E-05   0.743410E-07
   133   0.379659E+04  -0.409191E+02   0.233356E-03  -0.409191E+02   0.105027E+01  -0.111254E-05   0.233356E-03  -0.111254E-05   0.738749E-07
   134   0.383104E+04  -0.413284E+02   0.231113E-03  -0.413284E+02   0.105453E+01  -0.110642E-05   0.231113E-03  -0.110642E-05   0.734128E-07
   135   0.386547E+04  -0.417224E+02   0.228913E-03  -0.417224E+02   0.105833E+01  -0.109947E-05   0.228913E-03  -0.109947E-05   0.729546E-07
   136   0.389986E+04  -0.421004E+02   0.226752E-03  -0.421004E+02   0.106170E+01  -0.109175E-05   0.226752E-03  -0.109175E-05   0.725002E-07
   137   0.393422E+04  -0.424621E+02   0.224629E-03  -0.424621E+02   0.106461E+01  -0.108334E-05   0.224629E-03  -0.108334E-05   0.720496E-07
   138   0.396854E+04  -0.428071E+02   0.222544E-03  -0.428071E+02   0.106707E+01  -0.107433E-05   0.222544E-03  -0.107433E-05   0.716029E-07
   139   0.400279E+04  -0.431351E+02   0.220493E-03  -0.431351E+02   0.106908E+01  -0.106477E-05   0.220493E-03  -0.106477E-05   0.711599E-07
   140   0.403700E+04  -0.434455E+02   0.218476E-03  -0.434455E+02   0.107063E+01  -0.105474E-05   0.218476E-03  -0.105474E-05   0.707206E-07
   141   0.407115E+04  -0.437380E+02   0.216491E-03  -0.437380E+02   0.107174E+01  -0.104433E-05   0.216491E-03  -0.104433E-05   0.702851E-07
   142   0.410522E+04  -0.440122E+02   0.214536E-03  -0.440122E+02   0.107239E+01  -0.103360E-05   0.214536E-03  -0.103360E-05   0.698532E-07
   143   0.413922E+04  -0.442678E+02   0.212611E-03  -0.442678E+02   0.107258E+01  -0.102263E-05   0.212611E-03  -0.102263E-05   0.694250E-07
   144   0.417313E+04  -0.445044E+02   0.210712E-03  -0.445044E+02   0.107233E+01  -0.101149E-05   0.210712E-03  -0.101149E-05   0.690005E-07
   145   0.420696E+04  -0.447214E+02   0.208839E-03  -0.447214E+02   0.107161E+01  -0.100026E-05   0.208839E-03  -0.100026E-05   0.685795E-07
   146   0.424067E+04  -0.449187E+02   0.206989E-03  -0.449187E+02   0.107045E+01  -0.989003E-06   0.206989E-03  -0.989003E-06   0.681621E-07
   147   0.427426E+04  -0.450957E+02   0.205162E-03  -0.450957E+02   0.106885E+01  -0.977805E-06   0.205162E-03  -0.977805E-06   0.677482E-07
