#    L    TT             EE             BB             TE             PP             TP             EP          
    20   0.903583E+03   0.504122E-02   0.000000E+00   0.129028E+01   0.131427E-06   0.162467E-02   0.223019E-06
    21   0.917081E+03   0.599909E-02   0.000000E+00   0.136177E+01   0.132702E-06   0.157540E-02   0.484476E-07
    22   0.931054E+03   0.710133E-02   0.000000E+00   0.143735E+01   0.133835E-06   0.152849E-02  -0.205931E-06
    23   0.945115E+03   0.834013E-02   0.000000E+00   0.151435E+01   0.134833E-06   0.148375E-02  -0.447237E-06
    24   0.959584E+03   0.971257E-02   0.000000E+00   0.158935E+01   0.135704E-06   0.144112E-02  -0.618499E-06
    25   0.974596E+03   0.112233E-01   0.000000E+00   0.165457E+01   0.136459E-06   0.140052E-02  -0.738039E-06
    26   0.989660E+03   0.128846E-01   0.000000E+00   0.171368E+01   0.137110E-06   0.136181E-02  -0.824954E-06
    27   0.100518E+04   0.147073E-01   0.000000E+00   0.176747E+01   0.137665E-06   0.132465E-02  -0.827773E-06
    28   0.102100E+04   0.166855E-01   0.000000E+00   0.181118E+01   0.138132E-06   0.128877E-02  -0.699674E-06
    29   0.103702E+04   0.188454E-01   0.000000E+00   0.184986E+01   0.138510E-06   0.125439E-02  -0.481327E-06
    30   0.105345E+04   0.212155E-01   0.000000E+00   0.187686E+01   0.138801E-06   0.122173E-02  -0.244802E-06
    31   0.106968E+04   0.237922E-01   0.000000E+00   0.190297E+01   0.139016E-06   0.119068E-02  -0.101583E-06
    32   0.108651E+04   0.265914E-01   0.000000E+00   0.192313E+01   0.139166E-06   0.116103E-02  -0.140459E-06
    33   0.110342E+04   0.295729E-01   0.000000E+00   0.193581E+01   0.139256E-06   0.113261E-02  -0.321965E-06
    34   0.112039E+04   0.327620E-01   0.000000E+00   0.194206E+01   0.139288E-06   0.110523E-02  -0.565654E-06
    35   0.113800E+04   0.361655E-01   0.000000E+00   0.193271E+01   0.139266E-06   0.107866E-02  -0.754125E-06
    36   0.115533E+04   0.398122E-01   0.000000E+00   0.191803E+01   0.139194E-06   0.105280E-02  -0.789712E-06
    37   0.117293E+04   0.437275E-01   0.000000E+00   0.189218E+01   0.139075E-06   0.102802E-02  -0.689088E-06
    38   0.119089E+04   0.478993E-01   0.000000E+00   0.185717E+01   0.138914E-06   0.100469E-02  -0.501785E-06
    39   0.120912E+04   0.523172E-01   0.000000E+00   0.181278E+01   0.138712E-06   0.982614E-03  -0.295197E-06
    40   0.122754E+04   0.569738E-01   0.000000E+00   0.175724E+01   0.138471E-06   0.961418E-03  -0.140961E-06
    41   0.124606E+04   0.618659E-01   0.000000E+00   0.168933E+01   0.138193E-06   0.940812E-03  -0.922642E-07
    42   0.126468E+04   0.670063E-01   0.000000E+00   0.161004E+01   0.137881E-06   0.920745E-03  -0.129422E-06
    43   0.128343E+04   0.724120E-01   0.000000E+00   0.152052E+01   0.137537E-06   0.901227E-03  -0.214676E-06
    44   0.130233E+04   0.780977E-01   0.000000E+00   0.142031E+01   0.137163E-06   0.882268E-03  -0.310405E-06
    45   0.132147E+04   0.840751E-01   0.000000E+00   0.130865E+01   0.136762E-06   0.863880E-03  -0.379107E-06
    46   0.134081E+04   0.903515E-01   0.000000E+00   0.118519E+01   0.136337E-06   0.846067E-03  -0.394313E-06
    47   0.136032E+04   0.969273E-01   0.000000E+00   0.104939E+01   0.135889E-06   0.828809E-03  -0.373282E-06
