#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.152271E+04   0.159920E+00   0.000000E+00  -0.512730E+00   0.131335E-06   0.707718E-03  -0.961248E-06
    56   0.154375E+04   0.169120E+00   0.000000E+00  -0.764972E+00   0.130745E-06   0.694957E-03  -0.937618E-06
    57   0.156511E+04   0.178614E+00   0.000000E+00  -0.103109E+01   0.130145E-06   0.682687E-03  -0.846672E-06
    58   0.158676E+04   0.188400E+00   0.000000E+00  -0.131128E+01   0.129535E-06   0.670852E-03  -0.717412E-06
    59   0.160859E+04   0.198478E+00   0.000000E+00  -0.160547E+01   0.128915E-06   0.659394E-03  -0.578785E-06
    60   0.163060E+04   0.208840E+00   0.000000E+00  -0.191315E+01   0.128285E-06   0.648259E-03  -0.459685E-06
    61   0.165278E+04   0.219480E+00   0.000000E+00  -0.223384E+01   0.127648E-06   0.637393E-03  -0.383733E-06
    62   0.167515E+04   0.230393E+00   0.000000E+00  -0.256757E+01   0.127003E-06   0.626768E-03  -0.353608E-06
    63   0.169771E+04   0.241577E+00   0.000000E+00  -0.291445E+01   0.126351E-06   0.616360E-03  -0.366763E-06
    64   0.172049E+04   0.253031E+00   0.000000E+00  -0.327463E+01   0.125694E-06   0.606144E-03  -0.420658E-06
    65   0.174350E+04   0.264753E+00   0.000000E+00  -0.364828E+01   0.125032E-06   0.596095E-03  -0.512762E-06
    66   0.176677E+04   0.276736E+00   0.000000E+00  -0.403564E+01   0.124367E-06   0.586201E-03  -0.637752E-06
    67   0.179030E+04   0.288973E+00   0.000000E+00  -0.443615E+01   0.123699E-06   0.576495E-03  -0.779140E-06
    68   0.181404E+04   0.301456E+00   0.000000E+00  -0.484911E+01   0.123028E-06   0.567021E-03  -0.917668E-06
    69   0.183795E+04   0.314176E+00   0.000000E+00  -0.527382E+01   0.122355E-06   0.557823E-03  -0.103410E-05
    70   0.186200E+04   0.327127E+00   0.000000E+00  -0.570979E+01   0.121680E-06   0.548946E-03  -0.110923E-05
    71   0.188616E+04   0.340304E+00   0.000000E+00  -0.615682E+01   0.121004E-06   0.540419E-03  -0.112927E-05
    72   0.191056E+04   0.353704E+00   0.000000E+00  -0.661583E+01   0.120326E-06   0.532224E-03  -0.110201E-05
    73   0.193529E+04   0.367322E+00   0.000000E+00  -0.708778E+01   0.119648E-06   0.524325E-03  -0.104064E-05
    74   0.196038E+04   0.381145E+00   0.000000E+00  -0.757257E+01   0.118968E-06   0.516689E-03  -0.958329E-06
    75   0.198583E+04   0.395162E+00   0.000000E+00  -0.806977E+01   0.118287E-06   0.509283E-03  -0.868232E-06
    76   0.201159E+04   0.409360E+00   0.000000E+00  -0.857883E+01   0.117606E-06   0.502075E-03  -0.782195E-06
    77   0.203753E+04   0.423727E+00   0.000000E+00  -0.909830E+01   0.116923E-06   0.495038E-03  -0.706893E-06
    78   0.206364E+04   0.438251E+00   0.000000E+00  -0.962773E+01   0.116240E-06   0.488150E-03  -0.647706E-06
    79   0.208996E+04   0.452921E+00   0.000000E+00  -0.101670E+02   0.115557E-06   0.481386E-03  -0.610008E-06
    80   0.211652E+04   0.467726E+00   0.000000E+00  -0.107160E+02   0.114875E-06   0.474722E-03  -0.599169E-06
    81   0.214333E+04   0.482653E+00   0.000000E+00  -0.112745E+02   0.114193E-06   0.468141E-03  -0.618385E-06
    82   0.217042E+04   0.497694E+00   0.000000E+00  -0.118422E+02   0.113513E-06   0.461651E-03  -0.662169E-06
    83   0.219775E+04   0.512837E+00   0.000000E+00  -0.124187E+02   0.112834E-06   0.455263E-03  -0.722871E-06
    84   0.222532E+04   0.528070E+00   0.000000E+00  -0.130036E+02   0.112157E-06   0.448992E-03  -0.792847E-06
    85   0.225313E+04   0.543383E+00   0.000000E+00  -0.135966E+02   0.111482E-06   0.442851E-03  -0.864461E-06
    86   0.228118E+04   0.558766E+00   0.000000E+00  -0.141971E+02   0.110809E-06   0.436851E-03  -0.931259E-06
    87   0.230944E+04   0.574206E+00   0.000000E+00  -0.148046E+02   0.110139E-06   0.430992E-03  -0.991497E-06
    88   0.233787E+04   0.589690E+00   0.000000E+00  -0.154187E+02   0.109471E-06   0.425272E-03  -0.104461E-05
    89   0.236650E+04   0.605204E+00   0.000000E+00  -0.160389E+02   0.108806E-06   0.419689E-03  -0.109004E-05
    90   0.239533E+04   0.620733E+00   0.000000E+00  -0.166648E+02   0.108143E-06   0.414242E-03  -0.112721E-05
    91   0.242437E+04   0.636261E+00   0.000000E+00  -0.172961E+02   0.107484E-06   0.408928E-03  -0.115576E-05
    92   0.245361E+04   0.651775E+00   0.000000E+00  -0.179324E+02   0.106828E-06   0.403743E-03  -0.117617E-05
    93   0.248307E+04   0.667260E+00   0.000000E+00  -0.185732E+02   0.106174E-06   0.398682E-03  -0.118911E-05
    94   0.251275E+04   0.682703E+00   0.000000E+00  -0.192184E+02   0.105524E-06   0.393741E-03  -0.119525E-05
    95   0.254266E+04   0.698089E+00   0.000000E+00  -0.198675E+02   0.104877E-06   0.388916E-03  -0.119527E-05
    96   0.257279E+04   0.713404E+00   0.000000E+00  -0.205199E+02   0.104233E-06   0.384202E-03  -0.118983E-05
    97   0.260315E+04   0.728633E+00   0.000000E+00  -0.211753E+02   0.103592E-06   0.379595E-03  -0.117962E-05
    98   0.263374E+04   0.743762E+00   0.000000E+00  -0.218332E+02   0.102955E-06   0.375091E-03  -0.116529E-05
    99   0.266453E+04   0.758775E+00   0.000000E+00  -0.224931E+02   0.102321E-06   0.370684E-03  -0.114753E-05
   100   0.269556E+04   0.773662E+00   0.000000E+00  -0.231545E+02   0.101691E-06   0.366372E-03  -0.112700E-05
   101   0.272679E+04   0.788408E+00   0.000000E+00  -0.238169E+02   0.101064E-06   0.362149E-03  -0.110438E-05
