#    L    TT             EE             TE             PP             TP          
    75   0.198583E+04   0.395162E+00  -0.806977E+01   0.538854E+07   0.855817E+04
    76   0.201159E+04   0.409360E+00  -0.857883E+01   0.535925E+07   0.843916E+04
    77   0.203753E+04   0.423727E+00  -0.909830E+01   0.532985E+07   0.832293E+04
    78   0.206364E+04   0.438251E+00  -0.962773E+01   0.530037E+07   0.820908E+04
    79   0.208996E+04   0.452921E+00  -0.101670E+02   0.527083E+07   0.809721E+04
    80   0.211652E+04   0.467726E+00  -0.107160E+02   0.524125E+07   0.798693E+04
    81   0.214333E+04   0.482653E+00  -0.112745E+02   0.521165E+07   0.787795E+04
    82   0.217042E+04   0.497694E+00  -0.118422E+02   0.518205E+07   0.777039E+04
    83   0.219775E+04   0.512837E+00  -0.124187E+02   0.515245E+07   0.766448E+04
    84   0.222532E+04   0.528070E+00  -0.130036E+02   0.512288E+07   0.756045E+04
    85   0.225313E+04   0.543383E+00  -0.135966E+02   0.509335E+07   0.745852E+04
    86   0.228118E+04   0.558766E+00  -0.141971E+02   0.506388E+07   0.735889E+04
    87   0.230944E+04   0.574206E+00  -0.148046E+02   0.503446E+07   0.726157E+04
    88   0.233787E+04   0.589690E+00  -0.154187E+02   0.500512E+07   0.716651E+04
    89   0.236650E+04   0.605204E+00  -0.160389E+02   0.497585E+07   0.707371E+04
    90   0.239533E+04   0.620733E+00  -0.166648E+02   0.494667E+07   0.698312E+04
    91   0.242437E+04   0.636261E+00  -0.172961E+02   0.491758E+07   0.689472E+04
    92   0.245361E+04   0.651775E+00  -0.179324E+02   0.488859E+07   0.680842E+04
    93   0.248307E+04   0.667260E+00  -0.185732E+02   0.485970E+07   0.672418E+04
    94   0.251275E+04   0.682703E+00  -0.192184E+02   0.483091E+07   0.664190E+04
    95   0.254266E+04   0.698089E+00  -0.198675E+02   0.480223E+07   0.656153E+04
    96   0.257279E+04   0.713404E+00  -0.205199E+02   0.477367E+07   0.648298E+04
    97   0.260315E+04   0.728633E+00  -0.211753E+02   0.474522E+07   0.640619E+04
    98   0.263374E+04   0.743762E+00  -0.218332E+02   0.471689E+07   0.633109E+04
    99   0.266453E+04   0.758775E+00  -0.224931E+02   0.468868E+07   0.625760E+04
   100   0.269556E+04   0.773662E+00  -0.231545E+02   0.466060E+07   0.618566E+04
   101   0.272679E+04   0.788408E+00  -0.238169E+02   0.463265E+07   0.611518E+04
   102   0.275825E+04   0.802991E+00  -0.244800E+02   0.460483E+07   0.604611E+04
   103   0.278991E+04   0.817410E+00  -0.251429E+02   0.457715E+07   0.597836E+04
   104   0.282178E+04   0.831637E+00  -0.258054E+02   0.454961E+07   0.591186E+04
   105   0.285384E+04   0.845665E+00  -0.264669E+02   0.452222E+07   0.584656E+04
   106   0.288608E+04   0.859477E+00  -0.271266E+02   0.449497E+07   0.578236E+04
   107   0.291852E+04   0.873068E+00  -0.277841E+02   0.446788E+07   0.571921E+04
