#    L    TT             EE             TE             PP             TP          
    99   0.266453E+04   0.758775E+00  -0.224931E+02   0.468067E+07   0.625292E+04
   100   0.269556E+04   0.773662E+00  -0.231545E+02   0.465276E+07   0.618110E+04
   101   0.272679E+04   0.788408E+00  -0.238169E+02   0.462498E+07   0.611075E+04
   102   0.275825E+04   0.802991E+00  -0.244800E+02   0.459734E+07   0.604180E+04
   103   0.278991E+04   0.817410E+00  -0.251429E+02   0.456983E+07   0.597417E+04
   104   0.282178E+04   0.831637E+00  -0.258054E+02   0.454247E+07   0.590780E+04
   105   0.285384E+04   0.845665E+00  -0.264669E+02   0.451524E+07   0.584261E+04
   106   0.288608E+04   0.859477E+00  -0.271266E+02   0.448817E+07   0.577853E+04
   107   0.291852E+04   0.873068E+00  -0.277841E+02   0.446125E+07   0.571549E+04
   108   0.295112E+04   0.886416E+00  -0.284389E+02   0.443449E+07   0.565342E+04
   109   0.298389E+04   0.899512E+00  -0.290903E+02   0.440788E+07   0.559224E+04
   110   0.301683E+04   0.912336E+00  -0.297379E+02   0.438144E+07   0.553189E+04
   111   0.304992E+04   0.924879E+00  -0.303811E+02   0.435517E+07   0.547230E+04
   112   0.308316E+04   0.937134E+00  -0.310192E+02   0.432906E+07   0.541347E+04
   113   0.311655E+04   0.949079E+00  -0.316518E+02   0.430312E+07   0.535540E+04
   114   0.315007E+04   0.960699E+00  -0.322782E+02   0.427734E+07   0.529810E+04
   115   0.318373E+04   0.971993E+00  -0.328979E+02   0.425174E+07   0.524156E+04
   116   0.321751E+04   0.982946E+00  -0.335104E+02   0.422630E+07   0.518580E+04
   117   0.325141E+04   0.993536E+00  -0.341151E+02   0.420104E+07   0.513081E+04
   118   0.328542E+04   0.100376E+01  -0.347113E+02   0.417594E+07   0.507660E+04
   119   0.331953E+04   0.101361E+01  -0.352986E+02   0.415102E+07   0.502317E+04
   120   0.335374E+04   0.102307E+01  -0.358764E+02   0.412626E+07   0.497053E+04
   121   0.338803E+04   0.103213E+01  -0.364441E+02   0.410168E+07   0.491868E+04
   122   0.342240E+04   0.104079E+01  -0.370012E+02   0.407727E+07   0.486763E+04
   123   0.345684E+04   0.104902E+01  -0.375471E+02   0.405303E+07   0.481738E+04
   124   0.349134E+04   0.105683E+01  -0.380813E+02   0.402896E+07   0.476792E+04
   125   0.352589E+04   0.106420E+01  -0.386032E+02   0.400506E+07   0.471928E+04
   126   0.356049E+04   0.107112E+01  -0.391123E+02   0.398134E+07   0.467144E+04
   127   0.359512E+04   0.107760E+01  -0.396081E+02   0.395779E+07   0.462442E+04
   128   0.362977E+04   0.108362E+01  -0.400900E+02   0.393442E+07   0.457821E+04
   129   0.366444E+04   0.108918E+01  -0.405575E+02   0.391122E+07   0.453283E+04
   130   0.369913E+04   0.109425E+01  -0.410101E+02   0.388820E+07   0.448827E+04
   131   0.373380E+04   0.109885E+01  -0.414472E+02   0.386535E+07   0.444454E+04
   132   0.376848E+04   0.110298E+01  -0.418684E+02   0.384267E+07   0.440161E+04
   133   0.380313E+04   0.110661E+01  -0.422732E+02   0.382017E+07   0.435946E+04
   134   0.383776E+04   0.110976E+01  -0.426611E+02   0.379784E+07   0.431806E+04
   135   0.387236E+04   0.111241E+01  -0.430317E+02   0.377568E+07   0.427739E+04
   136   0.390692E+04   0.111458E+01  -0.433845E+02   0.375370E+07   0.423743E+04
   137   0.394144E+04   0.111624E+01  -0.437188E+02   0.373188E+07   0.419814E+04
   138   0.397590E+04   0.111741E+01  -0.440345E+02   0.371023E+07   0.415951E+04
   139   0.401029E+04   0.111809E+01  -0.443311E+02   0.368875E+07   0.412151E+04
   140   0.404462E+04   0.111827E+01  -0.446081E+02   0.366743E+07   0.408410E+04
   141   0.407887E+04   0.111796E+01  -0.448651E+02   0.364628E+07   0.404728E+04
   142   0.411303E+04   0.111715E+01  -0.451018E+02   0.362529E+07   0.401101E+04
   143   0.414710E+04   0.111586E+01  -0.453177E+02   0.360447E+07   0.397527E+04
   144   0.418107E+04   0.111408E+01  -0.455124E+02   0.358381E+07   0.394003E+04
   145   0.421492E+04   0.111181E+01  -0.456855E+02   0.356331E+07   0.390527E+04
   146   0.424863E+04   0.110907E+01  -0.458367E+02   0.354297E+07   0.387096E+04
   147   0.428220E+04   0.110586E+01  -0.459654E+02   0.352279E+07   0.383708E+04
   148   0.431561E+04   0.110218E+01  -0.460714E+02   0.350276E+07   0.380360E+04
   149   0.434885E+04   0.109804E+01  -0.461542E+02   0.348290E+07   0.377050E+04
   150   0.438190E+04   0.109345E+01  -0.462134E+02   0.346319E+07   0.373775E+04
   151   0.441474E+04   0.108842E+01  -0.462487E+02   0.344364E+07   0.370533E+04
   152   0.444738E+04   0.108294E+01  -0.462598E+02   0.342424E+07   0.367323E+04
   153   0.447981E+04   0.107705E+01  -0.462464E+02   0.340499E+07   0.364146E+04
   154   0.451201E+04   0.107075E+01  -0.462083E+02   0.338590E+07   0.361002E+04
   155   0.454399E+04   0.106404E+01  -0.461452E+02   0.336695E+07   0.357889E+04
   156   0.457575E+04   0.105694E+01  -0.460569E+02   0.334816E+07   0.354808E+04
   157   0.460727E+04   0.104946E+01  -0.459430E+02   0.332952E+07   0.351759E+04
   158   0.463856E+04   0.104163E+01  -0.458035E+02   0.331102E+07   0.348741E+04
   159   0.466960E+04   0.103343E+01  -0.456380E+02   0.329268E+07   0.345755E+04
   160   0.470038E+04   0.102491E+01  -0.454464E+02   0.327448E+07   0.342800E+04
   161   0.473087E+04   0.101606E+01  -0.452284E+02   0.325642E+07   0.339876E+04
   162   0.476109E+04   0.100691E+01  -0.449839E+02   0.323852E+07   0.336982E+04
   163   0.479100E+04   0.997491E+00  -0.447126E+02   0.322075E+07   0.334120E+04
   164   0.482060E+04   0.987793E+00  -0.444143E+02   0.320313E+07   0.331287E+04
   165   0.484987E+04   0.977843E+00  -0.440889E+02   0.318565E+07   0.328486E+04
   166   0.487881E+04   0.967663E+00  -0.437363E+02   0.316832E+07   0.325714E+04
   167   0.490741E+04   0.957275E+00  -0.433562E+02   0.315112E+07   0.322972E+04
   168   0.493566E+04   0.946701E+00  -0.429488E+02   0.313406E+07   0.320261E+04
   169   0.496355E+04   0.935964E+00  -0.425139E+02   0.311715E+07   0.317578E+04
   170   0.499108E+04   0.925078E+00  -0.420514E+02   0.310037E+07   0.314926E+04
   171   0.501822E+04   0.914073E+00  -0.415613E+02   0.308372E+07   0.312302E+04
   172   0.504499E+04   0.902972E+00  -0.410435E+02   0.306721E+07   0.309708E+04
   173   0.507136E+04   0.891796E+00  -0.404980E+02   0.305084E+07   0.307143E+04
   174   0.509733E+04   0.880567E+00  -0.399247E+02   0.303460E+07   0.304606E+04
   175   0.512289E+04   0.869324E+00  -0.393239E+02   0.301850E+07   0.302098E+04
   176   0.514803E+04   0.858080E+00  -0.386953E+02   0.300253E+07   0.299619E+04
   177   0.517274E+04   0.846873E+00  -0.380391E+02   0.298669E+07   0.297167E+04
   178   0.519700E+04   0.835725E+00  -0.373553E+02   0.297097E+07   0.294743E+04
   179   0.522083E+04   0.824658E+00  -0.366439E+02   0.295539E+07   0.292345E+04
   180   0.524421E+04   0.813709E+00  -0.359050E+02   0.293994E+07   0.289974E+04
   181   0.526712E+04   0.802909E+00  -0.351389E+02   0.292461E+07   0.287628E+04
   182   0.528957E+04   0.792287E+00  -0.343455E+02   0.290940E+07   0.285307E+04
   183   0.531154E+04   0.781866E+00  -0.335250E+02   0.289432E+07   0.283011E+04
   184   0.533303E+04   0.771681E+00  -0.326778E+02   0.287936E+07   0.280738E+04
   185   0.535404E+04   0.761772E+00  -0.318036E+02   0.286453E+07   0.278489E+04
   186   0.537455E+04   0.752159E+00  -0.309028E+02   0.284981E+07   0.276263E+04
   187   0.539456E+04   0.742873E+00  -0.299756E+02   0.283521E+07   0.274058E+04
   188   0.541406E+04   0.733955E+00  -0.290222E+02   0.282074E+07   0.271875E+04
   189   0.543304E+04   0.725436E+00  -0.280429E+02   0.280637E+07   0.269714E+04
   190   0.545150E+04   0.717350E+00  -0.270378E+02   0.279212E+07   0.267572E+04
   191   0.546943E+04   0.709729E+00  -0.260073E+02   0.277799E+07   0.265451E+04
   192   0.548682E+04   0.702607E+00  -0.249514E+02   0.276397E+07   0.263349E+04
   193   0.550366E+04   0.696019E+00  -0.238706E+02   0.275006E+07   0.261265E+04
   194   0.551996E+04   0.690000E+00  -0.227651E+02   0.273626E+07   0.259200E+04
   195   0.553570E+04   0.684586E+00  -0.216353E+02   0.272257E+07   0.257152E+04
   196   0.555089E+04   0.679811E+00  -0.204815E+02   0.270899E+07   0.255121E+04
   197   0.556552E+04   0.675715E+00  -0.193042E+02   0.269552E+07   0.253107E+04
   198   0.557960E+04   0.672331E+00  -0.181036E+02   0.268215E+07   0.251109E+04
   199   0.559310E+04   0.669696E+00  -0.168801E+02   0.266888E+07   0.249125E+04
   200   0.560603E+04   0.667846E+00  -0.156341E+02   0.265572E+07   0.247157E+04
   201   0.561839E+04   0.666818E+00  -0.143660E+02   0.264266E+07   0.245202E+04
   202   0.563017E+04   0.666649E+00  -0.130762E+02   0.262970E+07   0.243262E+04
   203   0.564134E+04   0.667374E+00  -0.117651E+02   0.261685E+07   0.241336E+04
   204   0.565191E+04   0.669031E+00  -0.104331E+02   0.260409E+07   0.239423E+04
   205   0.566185E+04   0.671657E+00  -0.908074E+01   0.259143E+07   0.237525E+04
   206   0.567117E+04   0.675287E+00  -0.770831E+01   0.257887E+07   0.235640E+04
   207   0.567986E+04   0.679960E+00  -0.631622E+01   0.256640E+07   0.233768E+04
   208   0.568790E+04   0.685711E+00  -0.490508E+01   0.255403E+07   0.231911E+04
   209   0.569533E+04   0.692577E+00  -0.347540E+01   0.254176E+07   0.230066E+04
   210   0.570212E+04   0.700594E+00  -0.202776E+01   0.252958E+07   0.228235E+04
   211   0.570830E+04   0.709801E+00  -0.562695E+00   0.251749E+07   0.226418E+04
   212   0.571387E+04   0.720233E+00   0.919229E+00   0.250550E+07   0.224613E+04
   213   0.571883E+04   0.731926E+00   0.241746E+01   0.249360E+07   0.222822E+04
   214   0.572319E+04   0.744919E+00   0.393144E+01   0.248179E+07   0.221044E+04
   215   0.572695E+04   0.759241E+00   0.546059E+01   0.247007E+07   0.219278E+04
   216   0.573010E+04   0.774936E+00   0.700430E+01   0.245845E+07   0.217526E+04
   217   0.573263E+04   0.792036E+00   0.856197E+01   0.244691E+07   0.215786E+04
   218   0.573454E+04   0.810570E+00   0.101331E+02   0.243545E+07   0.214059E+04
   219   0.573584E+04   0.830582E+00   0.117170E+02   0.242409E+07   0.212345E+04
   220   0.573650E+04   0.852102E+00   0.133131E+02   0.241281E+07   0.210643E+04
   221   0.573654E+04   0.875159E+00   0.149207E+02   0.240162E+07   0.208953E+04
   222   0.573595E+04   0.899799E+00   0.165394E+02   0.239051E+07   0.207276E+04
   223   0.573472E+04   0.926043E+00   0.181683E+02   0.237949E+07   0.205611E+04
   224   0.573287E+04   0.953929E+00   0.198070E+02   0.236855E+07   0.203959E+04
   225   0.573040E+04   0.983479E+00   0.214545E+02   0.235769E+07   0.202318E+04
   226   0.572730E+04   0.101474E+01   0.231105E+02   0.234691E+07   0.200690E+04
   227   0.572357E+04   0.104773E+01   0.247741E+02   0.233622E+07   0.199074E+04
   228   0.571922E+04   0.108249E+01   0.264446E+02   0.232560E+07   0.197469E+04
