#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    15   0.820398E+03   0.915170E+00   0.184396E-02   0.915170E+00   0.229012E-02  -0.135222E-05   0.184396E-02  -0.135222E-05   0.114366E-06
    16   0.829932E+03   0.968358E+00   0.177967E-02   0.968358E+00   0.248530E-02  -0.132597E-05   0.177967E-02  -0.132597E-05   0.116384E-06
    17   0.841198E+03   0.102188E+01   0.171736E-02   0.102188E+01   0.277672E-02  -0.101768E-05   0.171736E-02  -0.101768E-05   0.118179E-06
    18   0.853043E+03   0.107572E+01   0.165836E-02   0.107572E+01   0.320602E-02  -0.511322E-06   0.165836E-02  -0.511322E-06   0.119783E-06
    19   0.866252E+03   0.113577E+01   0.160288E-02   0.113577E+01   0.379017E-02  -0.579605E-08   0.160288E-02  -0.579605E-08   0.121205E-06
    20   0.879244E+03   0.119862E+01   0.155083E-02   0.119862E+01   0.451816E-02   0.298860E-06   0.155083E-02   0.298860E-06   0.122454E-06
    21   0.892720E+03   0.126448E+01   0.150210E-02   0.126448E+01   0.537220E-02   0.312945E-06   0.150210E-02   0.312945E-06   0.123551E-06
    22   0.906704E+03   0.132996E+01   0.145646E-02   0.132996E+01   0.635122E-02   0.258572E-07   0.145646E-02   0.258572E-07   0.124514E-06
    23   0.920785E+03   0.139706E+01   0.141318E-02   0.139706E+01   0.745563E-02  -0.366960E-06   0.141318E-02  -0.366960E-06   0.125353E-06
    24   0.935270E+03   0.146722E+01   0.137154E-02   0.146722E+01   0.869047E-02  -0.657474E-06   0.137154E-02  -0.657474E-06   0.126075E-06
    25   0.950326E+03   0.152979E+01   0.133149E-02   0.152979E+01   0.100470E-01  -0.793343E-06   0.133149E-02  -0.793343E-06   0.126689E-06
    26   0.965497E+03   0.158482E+01   0.129313E-02   0.158482E+01   0.115252E-01  -0.779571E-06   0.129313E-02  -0.779571E-06   0.127207E-06
    27   0.981167E+03   0.163434E+01   0.125654E-02   0.163434E+01   0.131502E-01  -0.694852E-06   0.125654E-02  -0.694852E-06   0.127638E-06
    28   0.997128E+03   0.167527E+01   0.122172E-02   0.167527E+01   0.149277E-01  -0.614356E-06   0.122172E-02  -0.614356E-06   0.127987E-06
    29   0.101329E+04   0.171157E+01   0.118844E-02   0.171157E+01   0.168623E-01  -0.525468E-06   0.118844E-02  -0.525468E-06   0.128255E-06
    30   0.102986E+04   0.173510E+01   0.115647E-02   0.173510E+01   0.189623E-01  -0.403938E-06   0.115647E-02  -0.403938E-06   0.128444E-06
    31   0.104624E+04   0.175651E+01   0.112589E-02   0.175651E+01   0.212426E-01  -0.266759E-06   0.112589E-02  -0.266759E-06   0.128562E-06
    32   0.106329E+04   0.177148E+01   0.109681E-02   0.177148E+01   0.237428E-01  -0.148214E-06   0.109681E-02  -0.148214E-06   0.128623E-06
    33   0.108043E+04   0.178153E+01   0.106921E-02   0.178153E+01   0.264266E-01  -0.110518E-06   0.106921E-02  -0.110518E-06   0.128628E-06
    34   0.109765E+04   0.178995E+01   0.104296E-02   0.178995E+01   0.293125E-01  -0.202099E-06   0.104296E-02  -0.202099E-06   0.128581E-06
    35   0.111554E+04   0.178418E+01   0.101759E-02   0.178418E+01   0.323766E-01  -0.388310E-06   0.101759E-02  -0.388310E-06   0.128485E-06
    36   0.113320E+04   0.177067E+01   0.992719E-03   0.177067E+01   0.356221E-01  -0.602519E-06   0.992719E-03  -0.602519E-06   0.128344E-06
