#    L    TT             EE             BB             TE          
    91   0.242490E+04   0.583642E+00   0.215213E-02  -0.163851E+02
    92   0.245425E+04   0.598244E+00   0.220014E-02  -0.169914E+02
    93   0.248379E+04   0.612844E+00   0.224872E-02  -0.176024E+02
    94   0.251353E+04   0.627432E+00   0.229786E-02  -0.182180E+02
    95   0.254349E+04   0.641993E+00   0.234758E-02  -0.188379E+02
    96   0.257365E+04   0.656515E+00   0.239788E-02  -0.194615E+02
    97   0.260401E+04   0.670984E+00   0.244876E-02  -0.200885E+02
    98   0.263459E+04   0.685388E+00   0.250021E-02  -0.207185E+02
    99   0.266536E+04   0.699713E+00   0.255226E-02  -0.213511E+02
   100   0.269635E+04   0.713949E+00   0.260489E-02  -0.219858E+02
   101   0.272753E+04   0.728083E+00   0.265811E-02  -0.226221E+02
   102   0.275892E+04   0.742095E+00   0.271193E-02  -0.232597E+02
   103   0.279051E+04   0.755985E+00   0.276634E-02  -0.238980E+02
   104   0.282228E+04   0.769727E+00   0.282136E-02  -0.245366E+02
   105   0.285424E+04   0.783313E+00   0.287697E-02  -0.251750E+02
   106   0.288638E+04   0.796732E+00   0.293320E-02  -0.258125E+02
   107   0.291869E+04   0.809978E+00   0.299003E-02  -0.264488E+02
   108   0.295117E+04   0.823029E+00   0.304748E-02  -0.270834E+02
   109   0.298381E+04   0.835880E+00   0.310554E-02  -0.277156E+02
   110   0.301660E+04   0.848510E+00   0.316423E-02  -0.283450E+02
   111   0.304955E+04   0.860914E+00   0.322353E-02  -0.289712E+02
   112   0.308264E+04   0.873084E+00   0.328347E-02  -0.295935E+02
   113   0.311587E+04   0.884999E+00   0.334403E-02  -0.302114E+02
   114   0.314923E+04   0.896642E+00   0.340523E-02  -0.308245E+02
   115   0.318272E+04   0.908015E+00   0.346707E-02  -0.314321E+02
   116   0.321633E+04   0.919103E+00   0.352954E-02  -0.320338E+02
   117   0.325006E+04   0.929883E+00   0.359267E-02  -0.326290E+02
   118   0.328388E+04   0.940355E+00   0.365644E-02  -0.332171E+02
   119   0.331781E+04   0.950505E+00   0.372087E-02  -0.337978E+02
   120   0.335183E+04   0.960326E+00   0.378596E-02  -0.343704E+02
   121   0.338593E+04   0.969802E+00   0.385171E-02  -0.349344E+02
   122   0.342010E+04   0.978926E+00   0.391812E-02  -0.354893E+02
   123   0.345434E+04   0.987691E+00   0.398521E-02  -0.360346E+02
   124   0.348864E+04   0.996082E+00   0.405298E-02  -0.365697E+02
   125   0.352298E+04   0.100410E+01   0.412143E-02  -0.370942E+02
   126   0.355737E+04   0.101173E+01   0.419057E-02  -0.376077E+02
   127   0.359178E+04   0.101897E+01   0.426040E-02  -0.381094E+02
   128   0.362622E+04   0.102581E+01   0.433093E-02  -0.385991E+02
   129   0.366068E+04   0.103224E+01   0.440217E-02  -0.390761E+02
   130   0.369514E+04   0.103826E+01   0.447411E-02  -0.395400E+02
   131   0.372960E+04   0.104385E+01   0.454678E-02  -0.399903E+02
   132   0.376405E+04   0.104903E+01   0.462016E-02  -0.404266E+02
   133   0.379848E+04   0.105378E+01   0.469427E-02  -0.408484E+02
   134   0.383290E+04   0.105810E+01   0.476912E-02  -0.412551E+02
   135   0.386728E+04   0.106197E+01   0.484470E-02  -0.416465E+02
   136   0.390163E+04   0.106541E+01   0.492103E-02  -0.420219E+02
   137   0.393595E+04   0.106839E+01   0.499812E-02  -0.423810E+02
   138   0.397022E+04   0.107093E+01   0.507597E-02  -0.427234E+02
   139   0.400443E+04   0.107302E+01   0.515458E-02  -0.430486E+02
   140   0.403859E+04   0.107465E+01   0.523396E-02  -0.433564E+02
   141   0.407268E+04   0.107584E+01   0.531412E-02  -0.436462E+02
   142   0.410670E+04   0.107658E+01   0.539507E-02  -0.439176E+02
   143   0.414065E+04   0.107686E+01   0.547681E-02  -0.441704E+02
   144   0.417450E+04   0.107669E+01   0.555935E-02  -0.444042E+02
   145   0.420827E+04   0.107608E+01   0.564269E-02  -0.446184E+02
   146   0.424192E+04   0.107502E+01   0.572685E-02  -0.448129E+02
   147   0.427545E+04   0.107352E+01   0.581182E-02  -0.449871E+02
   148   0.430885E+04   0.107159E+01   0.589761E-02  -0.451408E+02
   149   0.434210E+04   0.106922E+01   0.598423E-02  -0.452734E+02
   150   0.437519E+04   0.106643E+01   0.607169E-02  -0.453847E+02
   151   0.440810E+04   0.106322E+01   0.615998E-02  -0.454743E+02
   152   0.444083E+04   0.105960E+01   0.624912E-02  -0.455419E+02
   153   0.447339E+04   0.105557E+01   0.633911E-02  -0.455872E+02
   154   0.450575E+04   0.105114E+01   0.642995E-02  -0.456100E+02
   155   0.453792E+04   0.104632E+01   0.652165E-02  -0.456098E+02
   156   0.456990E+04   0.104112E+01   0.661422E-02  -0.455866E+02
   157   0.460168E+04   0.103555E+01   0.670765E-02  -0.455400E+02
   158   0.463325E+04   0.102961E+01   0.680195E-02  -0.454696E+02
   159   0.466461E+04   0.102332E+01   0.689713E-02  -0.453753E+02
   160   0.469574E+04   0.101669E+01   0.699318E-02  -0.452569E+02
   161   0.472662E+04   0.100973E+01   0.709011E-02  -0.451140E+02
   162   0.475725E+04   0.100245E+01   0.718792E-02  -0.449466E+02
   163   0.478761E+04   0.994882E+00   0.728662E-02  -0.447541E+02
   164   0.481770E+04   0.987021E+00   0.738620E-02  -0.445367E+02
   165   0.484749E+04   0.978884E+00   0.748666E-02  -0.442939E+02
   166   0.487699E+04   0.970491E+00   0.758802E-02  -0.440257E+02
   167   0.490618E+04   0.961861E+00   0.769026E-02  -0.437318E+02
   168   0.493506E+04   0.953011E+00   0.779339E-02  -0.434124E+02
   169   0.496361E+04   0.943962E+00   0.789740E-02  -0.430671E+02
   170   0.499184E+04   0.934724E+00   0.800230E-02  -0.426960E+02
   171   0.501972E+04   0.925323E+00   0.810809E-02  -0.422988E+02
   172   0.504726E+04   0.915779E+00   0.821476E-02  -0.418757E+02
   173   0.507445E+04   0.906110E+00   0.832231E-02  -0.414264E+02
   174   0.510127E+04   0.896335E+00   0.843074E-02  -0.409509E+02
   175   0.512772E+04   0.886487E+00   0.854005E-02  -0.404493E+02
   176   0.515379E+04   0.876578E+00   0.865023E-02  -0.399216E+02
   177   0.517947E+04   0.866640E+00   0.876129E-02  -0.393676E+02
   178   0.520474E+04   0.856690E+00   0.887321E-02  -0.387874E+02
   179   0.522962E+04   0.846744E+00   0.898599E-02  -0.381809E+02
   180   0.525409E+04   0.836835E+00   0.909964E-02  -0.375481E+02
   181   0.527813E+04   0.826988E+00   0.921414E-02  -0.368893E+02
   182   0.530175E+04   0.817226E+00   0.932949E-02  -0.362042E+02
   183   0.532494E+04   0.807566E+00   0.944569E-02  -0.354931E+02
   184   0.534769E+04   0.798042E+00   0.956273E-02  -0.347561E+02
   185   0.537000E+04   0.788683E+00   0.968060E-02  -0.339931E+02
   186   0.539185E+04   0.779508E+00   0.979930E-02  -0.332043E+02
   187   0.541324E+04   0.770542E+00   0.991883E-02  -0.323898E+02
   188   0.543418E+04   0.761819E+00   0.100392E-01  -0.315497E+02
   189   0.545463E+04   0.753365E+00   0.101603E-01  -0.306842E+02
   190   0.547461E+04   0.745209E+00   0.102823E-01  -0.297935E+02
   191   0.549411E+04   0.737378E+00   0.104050E-01  -0.288778E+02
   192   0.551311E+04   0.729901E+00   0.105286E-01  -0.279371E+02
   193   0.553161E+04   0.722807E+00   0.106529E-01  -0.269717E+02
   194   0.554961E+04   0.716125E+00   0.107780E-01  -0.259819E+02
   195   0.556710E+04   0.709886E+00   0.109039E-01  -0.249679E+02
   196   0.558409E+04   0.704121E+00   0.110306E-01  -0.239301E+02
   197   0.560056E+04   0.698860E+00   0.111580E-01  -0.228686E+02
   198   0.561653E+04   0.694135E+00   0.112861E-01  -0.217838E+02
   199   0.563197E+04   0.689976E+00   0.114150E-01  -0.206760E+02
   200   0.564690E+04   0.686413E+00   0.115446E-01  -0.195455E+02
   201   0.566130E+04   0.683479E+00   0.116750E-01  -0.183925E+02
   202   0.567516E+04   0.681209E+00   0.118060E-01  -0.172175E+02
   203   0.568846E+04   0.679640E+00   0.119378E-01  -0.160207E+02
   204   0.570121E+04   0.678810E+00   0.120702E-01  -0.148025E+02
   205   0.571338E+04   0.678754E+00   0.122034E-01  -0.135632E+02
   206   0.572497E+04   0.679510E+00   0.123372E-01  -0.123032E+02
   207   0.573597E+04   0.681114E+00   0.124717E-01  -0.110226E+02
   208   0.574636E+04   0.683604E+00   0.126069E-01  -0.972214E+01
   209   0.575619E+04   0.687015E+00   0.127427E-01  -0.840211E+01
   210   0.576542E+04   0.691385E+00   0.128791E-01  -0.706302E+01
   211   0.577407E+04   0.696751E+00   0.130162E-01  -0.570533E+01
   212   0.578215E+04   0.703148E+00   0.131539E-01  -0.432951E+01
   213   0.578967E+04   0.710615E+00   0.132922E-01  -0.293603E+01
   214   0.579661E+04   0.719187E+00   0.134312E-01  -0.152534E+01
   215   0.580300E+04   0.728896E+00   0.135707E-01  -0.979625E-01
   216   0.580880E+04   0.739786E+00   0.137108E-01   0.134562E+01
   217   0.581403E+04   0.751887E+00   0.138514E-01   0.280486E+01
   218   0.581867E+04   0.765229E+00   0.139926E-01   0.427937E+01
   219   0.582272E+04   0.779856E+00   0.141344E-01   0.576854E+01
   220   0.582617E+04   0.795798E+00   0.142767E-01   0.727194E+01
   221   0.582903E+04   0.813084E+00   0.144195E-01   0.878892E+01
   222   0.583128E+04   0.831760E+00   0.145628E-01   0.103191E+02
   223   0.583292E+04   0.851847E+00   0.147066E-01   0.118618E+02
   224   0.583397E+04   0.873383E+00   0.148508E-01   0.134166E+02
   225   0.583443E+04   0.896389E+00   0.149956E-01   0.149827E+02
   226   0.583427E+04   0.920911E+00   0.151408E-01   0.165598E+02
   227   0.583352E+04   0.946977E+00   0.152864E-01   0.181471E+02
   228   0.583217E+04   0.974610E+00   0.154325E-01   0.197441E+02
   229   0.583023E+04   0.100385E+01   0.155789E-01   0.213502E+02
   230   0.582768E+04   0.103472E+01   0.157258E-01   0.229648E+02
   231   0.582453E+04   0.106724E+01   0.158730E-01   0.245874E+02
   232   0.582080E+04   0.110144E+01   0.160205E-01   0.262172E+02
   233   0.581647E+04   0.113736E+01   0.161684E-01   0.278537E+02
   234   0.581154E+04   0.117502E+01   0.163167E-01   0.294962E+02
   235   0.580602E+04   0.121444E+01   0.164652E-01   0.311442E+02
   236   0.579990E+04   0.125566E+01   0.166140E-01   0.327970E+02
   237   0.579321E+04   0.129869E+01   0.167631E-01   0.344539E+02
   238   0.578592E+04   0.134354E+01   0.169125E-01   0.361144E+02
   239   0.577806E+04   0.139025E+01   0.170621E-01   0.377778E+02
   240   0.576961E+04   0.143884E+01   0.172119E-01   0.394433E+02
   241   0.576057E+04   0.148932E+01   0.173619E-01   0.411105E+02
   242   0.575097E+04   0.154173E+01   0.175121E-01   0.427785E+02
   243   0.574079E+04   0.159607E+01   0.176624E-01   0.444468E+02
   244   0.573004E+04   0.165236E+01   0.178129E-01   0.461149E+02
   245   0.571874E+04   0.171062E+01   0.179635E-01   0.477819E+02
   246   0.570688E+04   0.177085E+01   0.181142E-01   0.494474E+02
   247   0.569446E+04   0.183309E+01   0.182649E-01   0.511107E+02
   248   0.568150E+04   0.189734E+01   0.184158E-01   0.527711E+02
   249   0.566800E+04   0.196361E+01   0.185667E-01   0.544280E+02
   250   0.565396E+04   0.203193E+01   0.187176E-01   0.560808E+02
   251   0.563938E+04   0.210228E+01   0.188685E-01   0.577286E+02
   252   0.562426E+04   0.217469E+01   0.190194E-01   0.593707E+02
   253   0.560861E+04   0.224918E+01   0.191702E-01   0.610064E+02
   254   0.559243E+04   0.232577E+01   0.193211E-01   0.626348E+02
   255   0.557571E+04   0.240446E+01   0.194718E-01   0.642551E+02
   256   0.555846E+04   0.248528E+01   0.196224E-01   0.658666E+02
   257   0.554069E+04   0.256823E+01   0.197730E-01   0.674685E+02
   258   0.552241E+04   0.265333E+01   0.199234E-01   0.690600E+02
   259   0.550364E+04   0.274060E+01   0.200737E-01   0.706413E+02
   260   0.548438E+04   0.283004E+01   0.202238E-01   0.722104E+02
   261   0.546464E+04   0.292165E+01   0.203737E-01   0.737678E+02
   262   0.544443E+04   0.301546E+01   0.205234E-01   0.753122E+02
   263   0.542378E+04   0.311147E+01   0.206729E-01   0.768434E+02
   264   0.540267E+04   0.320969E+01   0.208222E-01   0.783600E+02
   265   0.538111E+04   0.331011E+01   0.209713E-01   0.798628E+02
   266   0.535911E+04   0.341273E+01   0.211200E-01   0.813495E+02
   267   0.533667E+04   0.351755E+01   0.212685E-01   0.828193E+02
   268   0.531381E+04   0.362457E+01   0.214167E-01   0.842730E+02
   269   0.529050E+04   0.373380E+01   0.215646E-01   0.857083E+02
   270   0.526677E+04   0.384522E+01   0.217121E-01   0.871260E+02
   271   0.524263E+04   0.395884E+01   0.218594E-01   0.885239E+02
   272   0.521808E+04   0.407465E+01   0.220062E-01   0.899026E+02
   273   0.519313E+04   0.419263E+01   0.221527E-01   0.912607E+02
   274   0.516779E+04   0.431279E+01   0.222988E-01   0.925989E+02
   275   0.514207E+04   0.443510E+01   0.224446E-01   0.939149E+02
   276   0.511598E+04   0.455957E+01   0.225899E-01   0.952096E+02
   277   0.508953E+04   0.468618E+01   0.227348E-01   0.964814E+02
   278   0.506271E+04   0.481492E+01   0.228792E-01   0.977295E+02
   279   0.503556E+04   0.494576E+01   0.230233E-01   0.989547E+02
   280   0.500807E+04   0.507869E+01   0.231668E-01   0.100156E+03
   281   0.498025E+04   0.521369E+01   0.233099E-01   0.101332E+03
   282   0.495210E+04   0.535075E+01   0.234526E-01   0.102483E+03
   283   0.492365E+04   0.548984E+01   0.235947E-01   0.103609E+03
   284   0.489490E+04   0.563094E+01   0.237363E-01   0.104707E+03
   285   0.486584E+04   0.577403E+01   0.238775E-01   0.105779E+03
   286   0.483650E+04   0.591910E+01   0.240181E-01   0.106825E+03
   287   0.480689E+04   0.606609E+01   0.241582E-01   0.107843E+03
   288   0.477701E+04   0.621500E+01   0.242978E-01   0.108832E+03
   289   0.474687E+04   0.636579E+01   0.244368E-01   0.109793E+03
   290   0.471648E+04   0.651844E+01   0.245753E-01   0.110725E+03
   291   0.468586E+04   0.667294E+01   0.247132E-01   0.111628E+03
   292   0.465499E+04   0.682915E+01   0.248505E-01   0.112501E+03
   293   0.462390E+04   0.698718E+01   0.249872E-01   0.113345E+03
   294   0.459260E+04   0.714695E+01   0.251234E-01   0.114157E+03
   295   0.456109E+04   0.730833E+01   0.252590E-01   0.114939E+03
   296   0.452937E+04   0.747139E+01   0.253940E-01   0.115690E+03
   297   0.449746E+04   0.763601E+01   0.255283E-01   0.116408E+03
   298   0.446536E+04   0.780220E+01   0.256621E-01   0.117094E+03
   299   0.443309E+04   0.796988E+01   0.257952E-01   0.117748E+03
   300   0.440065E+04   0.813901E+01   0.259277E-01   0.118370E+03
   301   0.436805E+04   0.830965E+01   0.260596E-01   0.118958E+03
   302   0.433531E+04   0.848161E+01   0.261908E-01   0.119514E+03
   303   0.430244E+04   0.865496E+01   0.263214E-01   0.120037E+03
   304   0.426945E+04   0.882963E+01   0.264513E-01   0.120526E+03
   305   0.423635E+04   0.900556E+01   0.265806E-01   0.120982E+03
   306   0.420315E+04   0.918276E+01   0.267092E-01   0.121403E+03
