#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.150868E+04   0.143707E+00   0.000000E+00  -0.524729E+00   0.120202E-06   0.659889E-03  -0.497942E-06
    56   0.153020E+04   0.152021E+00   0.000000E+00  -0.762039E+00   0.119606E-06   0.647483E-03  -0.594229E-06
    57   0.155204E+04   0.160601E+00   0.000000E+00  -0.101245E+01   0.119000E-06   0.635439E-03  -0.708471E-06
    58   0.157414E+04   0.169449E+00   0.000000E+00  -0.127610E+01   0.118387E-06   0.623771E-03  -0.815114E-06
    59   0.159643E+04   0.178570E+00   0.000000E+00  -0.155284E+01   0.117765E-06   0.612493E-03  -0.888648E-06
    60   0.161890E+04   0.187961E+00   0.000000E+00  -0.184209E+01   0.117136E-06   0.601620E-03  -0.903606E-06
    61   0.164156E+04   0.197620E+00   0.000000E+00  -0.214335E+01   0.116500E-06   0.591156E-03  -0.843824E-06
    62   0.166440E+04   0.207540E+00   0.000000E+00  -0.245671E+01   0.115858E-06   0.581059E-03  -0.730209E-06
    63   0.168745E+04   0.217718E+00   0.000000E+00  -0.278243E+01   0.115211E-06   0.571278E-03  -0.592885E-06
    64   0.171070E+04   0.228147E+00   0.000000E+00  -0.312076E+01   0.114560E-06   0.561760E-03  -0.461933E-06
    65   0.173417E+04   0.238826E+00   0.000000E+00  -0.347202E+01   0.113905E-06   0.552454E-03  -0.367386E-06
    66   0.175790E+04   0.249745E+00   0.000000E+00  -0.383650E+01   0.113249E-06   0.543317E-03  -0.332211E-06
    67   0.178186E+04   0.260900E+00   0.000000E+00  -0.421365E+01   0.112590E-06   0.534344E-03  -0.351242E-06
    68   0.180603E+04   0.272283E+00   0.000000E+00  -0.460271E+01   0.111930E-06   0.525539E-03  -0.412299E-06
    69   0.183035E+04   0.283891E+00   0.000000E+00  -0.500293E+01   0.111268E-06   0.516907E-03  -0.503219E-06
    70   0.185480E+04   0.295719E+00   0.000000E+00  -0.541375E+01   0.110606E-06   0.508452E-03  -0.611860E-06
    71   0.187936E+04   0.307765E+00   0.000000E+00  -0.583497E+01   0.109944E-06   0.500180E-03  -0.726643E-06
    72   0.190413E+04   0.320028E+00   0.000000E+00  -0.626753E+01   0.109281E-06   0.492109E-03  -0.838203E-06
    73   0.192925E+04   0.332503E+00   0.000000E+00  -0.671248E+01   0.108618E-06   0.484258E-03  -0.937736E-06
    74   0.195472E+04   0.345180E+00   0.000000E+00  -0.716976E+01   0.107954E-06   0.476647E-03  -0.101645E-05
    75   0.198054E+04   0.358048E+00   0.000000E+00  -0.763901E+01   0.107290E-06   0.469295E-03  -0.106555E-05
    76   0.200667E+04   0.371093E+00   0.000000E+00  -0.811974E+01   0.106626E-06   0.462215E-03  -0.107896E-05
    77   0.203298E+04   0.384309E+00   0.000000E+00  -0.861053E+01   0.105962E-06   0.455391E-03  -0.106136E-05
    78   0.205944E+04   0.397686E+00   0.000000E+00  -0.911094E+01   0.105299E-06   0.448802E-03  -0.102013E-05
    79   0.208610E+04   0.411215E+00   0.000000E+00  -0.962082E+01   0.104636E-06   0.442423E-03  -0.962627E-06
    80   0.211296E+04   0.424889E+00   0.000000E+00  -0.101402E+02   0.103975E-06   0.436235E-03  -0.896215E-06
    81   0.214005E+04   0.438698E+00   0.000000E+00  -0.106688E+02   0.103315E-06   0.430214E-03  -0.827605E-06
    82   0.216737E+04   0.452632E+00   0.000000E+00  -0.112063E+02   0.102657E-06   0.424346E-03  -0.760964E-06
    83   0.219492E+04   0.466679E+00   0.000000E+00  -0.117526E+02   0.102001E-06   0.418618E-03  -0.699821E-06
    84   0.222270E+04   0.480828E+00   0.000000E+00  -0.123071E+02   0.101347E-06   0.413013E-03  -0.647702E-06
    85   0.225070E+04   0.495068E+00   0.000000E+00  -0.128696E+02   0.100695E-06   0.407520E-03  -0.608129E-06
    86   0.227893E+04   0.509388E+00   0.000000E+00  -0.134398E+02   0.100047E-06   0.402126E-03  -0.583550E-06
    87   0.230735E+04   0.523778E+00   0.000000E+00  -0.140171E+02   0.994010E-07   0.396827E-03  -0.572124E-06
    88   0.233595E+04   0.538228E+00   0.000000E+00  -0.146011E+02   0.987582E-07   0.391624E-03  -0.570939E-06
    89   0.236472E+04   0.552728E+00   0.000000E+00  -0.151913E+02   0.981184E-07   0.386517E-03  -0.577085E-06
    90   0.239367E+04   0.567263E+00   0.000000E+00  -0.157874E+02   0.974818E-07   0.381504E-03  -0.587655E-06
    91   0.242281E+04   0.581823E+00   0.000000E+00  -0.163890E+02   0.968484E-07   0.376585E-03  -0.600209E-06
    92   0.245213E+04   0.596394E+00   0.000000E+00  -0.169959E+02   0.962184E-07   0.371759E-03  -0.614159E-06
    93   0.248166E+04   0.610964E+00   0.000000E+00  -0.176077E+02   0.955917E-07   0.367023E-03  -0.629384E-06
    94   0.251138E+04   0.625521E+00   0.000000E+00  -0.182241E+02   0.949685E-07   0.362376E-03  -0.645763E-06
    95   0.254132E+04   0.640051E+00   0.000000E+00  -0.188447E+02   0.943486E-07   0.357815E-03  -0.663171E-06
    96   0.257146E+04   0.654542E+00   0.000000E+00  -0.194692E+02   0.937323E-07   0.353339E-03  -0.681489E-06
    97   0.260181E+04   0.668980E+00   0.000000E+00  -0.200971E+02   0.931195E-07   0.348946E-03  -0.700594E-06
    98   0.263237E+04   0.683353E+00   0.000000E+00  -0.207280E+02   0.925102E-07   0.344633E-03  -0.720364E-06
    99   0.266313E+04   0.697647E+00   0.000000E+00  -0.213615E+02   0.919046E-07   0.340400E-03  -0.740677E-06
   100   0.269410E+04   0.711851E+00   0.000000E+00  -0.219972E+02   0.913026E-07   0.336245E-03  -0.761412E-06
   101   0.272528E+04   0.725954E+00   0.000000E+00  -0.226345E+02   0.907043E-07   0.332165E-03  -0.782448E-06
