#    L    TT             EE             TE             PP             TP          
    75   0.198583E+04   0.395162E+00  -0.806977E+01   0.539383E+07   0.855915E+04
    76   0.201159E+04   0.409360E+00  -0.857883E+01   0.536455E+07   0.844013E+04
    77   0.203753E+04   0.423727E+00  -0.909830E+01   0.533517E+07   0.832388E+04
    78   0.206364E+04   0.438251E+00  -0.962773E+01   0.530570E+07   0.821001E+04
    79   0.208996E+04   0.452921E+00  -0.101670E+02   0.527617E+07   0.809813E+04
    80   0.211652E+04   0.467726E+00  -0.107160E+02   0.524660E+07   0.798783E+04
    81   0.214333E+04   0.482653E+00  -0.112745E+02   0.521701E+07   0.787883E+04
    82   0.217042E+04   0.497694E+00  -0.118422E+02   0.518741E+07   0.777125E+04
    83   0.219775E+04   0.512837E+00  -0.124187E+02   0.515782E+07   0.766532E+04
    84   0.222532E+04   0.528070E+00  -0.130036E+02   0.512826E+07   0.756127E+04
    85   0.225313E+04   0.543383E+00  -0.135966E+02   0.509874E+07   0.745933E+04
    86   0.228118E+04   0.558766E+00  -0.141971E+02   0.506926E+07   0.735968E+04
    87   0.230944E+04   0.574206E+00  -0.148046E+02   0.503985E+07   0.726234E+04
    88   0.233787E+04   0.589690E+00  -0.154187E+02   0.501051E+07   0.716727E+04
    89   0.236650E+04   0.605204E+00  -0.160389E+02   0.498124E+07   0.707445E+04
    90   0.239533E+04   0.620733E+00  -0.166648E+02   0.495206E+07   0.698384E+04
    91   0.242437E+04   0.636261E+00  -0.172961E+02   0.492297E+07   0.689542E+04
    92   0.245361E+04   0.651775E+00  -0.179324E+02   0.489397E+07   0.680911E+04
    93   0.248307E+04   0.667260E+00  -0.185732E+02   0.486508E+07   0.672484E+04
    94   0.251275E+04   0.682703E+00  -0.192184E+02   0.483629E+07   0.664255E+04
    95   0.254266E+04   0.698089E+00  -0.198675E+02   0.480761E+07   0.656216E+04
    96   0.257279E+04   0.713404E+00  -0.205199E+02   0.477904E+07   0.648360E+04
    97   0.260315E+04   0.728633E+00  -0.211753E+02   0.475058E+07   0.640679E+04
    98   0.263374E+04   0.743762E+00  -0.218332E+02   0.472224E+07   0.633167E+04
    99   0.266453E+04   0.758775E+00  -0.224931E+02   0.469403E+07   0.625817E+04
   100   0.269556E+04   0.773662E+00  -0.231545E+02   0.466594E+07   0.618621E+04
   101   0.272679E+04   0.788408E+00  -0.238169E+02   0.463798E+07   0.611572E+04
   102   0.275825E+04   0.802991E+00  -0.244800E+02   0.461015E+07   0.604663E+04
   103   0.278991E+04   0.817410E+00  -0.251429E+02   0.458246E+07   0.597886E+04
   104   0.282178E+04   0.831637E+00  -0.258054E+02   0.455491E+07   0.591235E+04
   105   0.285384E+04   0.845665E+00  -0.264669E+02   0.452751E+07   0.584703E+04
   106   0.288608E+04   0.859477E+00  -0.271266E+02   0.450025E+07   0.578282E+04
   107   0.291852E+04   0.873068E+00  -0.277841E+02   0.447315E+07   0.571965E+04
   108   0.295112E+04   0.886416E+00  -0.284389E+02   0.444620E+07   0.565745E+04
   109   0.298389E+04   0.899512E+00  -0.290903E+02   0.441941E+07   0.559615E+04
   110   0.301683E+04   0.912336E+00  -0.297379E+02   0.439278E+07   0.553567E+04
   111   0.304992E+04   0.924879E+00  -0.303811E+02   0.436632E+07   0.547597E+04
   112   0.308316E+04   0.937134E+00  -0.310192E+02   0.434003E+07   0.541702E+04
   113   0.311655E+04   0.949079E+00  -0.316518E+02   0.431390E+07   0.535883E+04
   114   0.315007E+04   0.960699E+00  -0.322782E+02   0.428794E+07   0.530141E+04
   115   0.318373E+04   0.971993E+00  -0.328979E+02   0.426215E+07   0.524476E+04
   116   0.321751E+04   0.982946E+00  -0.335104E+02   0.423653E+07   0.518888E+04
   117   0.325141E+04   0.993536E+00  -0.341151E+02   0.421108E+07   0.513378E+04
