#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.128343E+04   0.152052E+01   0.901226E-03   0.152052E+01   0.724120E-01  -0.214011E-06   0.901226E-03  -0.214011E-06   0.137537E-06
    44   0.130233E+04   0.142031E+01   0.882268E-03   0.142031E+01   0.780977E-01  -0.309990E-06   0.882268E-03  -0.309990E-06   0.137163E-06
    45   0.132147E+04   0.130865E+01   0.863879E-03   0.130865E+01   0.840751E-01  -0.379107E-06   0.863879E-03  -0.379107E-06   0.136762E-06
    46   0.134081E+04   0.118519E+01   0.846066E-03   0.118519E+01   0.903515E-01  -0.394700E-06   0.846066E-03  -0.394700E-06   0.136337E-06
    47   0.136032E+04   0.104939E+01   0.828808E-03   0.104939E+01   0.969273E-01  -0.373882E-06   0.828808E-03  -0.373882E-06   0.135889E-06
    48   0.138000E+04   0.900634E+00   0.812077E-03   0.900634E+00   0.103794E+00  -0.344710E-06   0.812077E-03  -0.344710E-06   0.135419E-06
    49   0.139981E+04   0.738374E+00   0.795847E-03   0.738374E+00   0.110943E+00  -0.335244E-06   0.795847E-03  -0.335244E-06   0.134929E-06
    50   0.141982E+04   0.562214E+00   0.780091E-03   0.562214E+00   0.118375E+00  -0.373541E-06   0.780091E-03  -0.373541E-06   0.134421E-06
    51   0.144009E+04   0.372064E+00   0.764790E-03   0.372064E+00   0.126096E+00  -0.477239E-06   0.764790E-03  -0.477239E-06   0.133897E-06
    52   0.146056E+04   0.168873E+00   0.749957E-03   0.168873E+00   0.134108E+00  -0.622308E-06   0.749957E-03  -0.622308E-06   0.133357E-06
    53   0.148116E+04  -0.463560E-01   0.735610E-03  -0.463560E-01   0.142415E+00  -0.774297E-06   0.735610E-03  -0.774297E-06   0.132803E-06
    54   0.150188E+04  -0.273481E+00   0.721772E-03  -0.273481E+00   0.151018E+00  -0.898755E-06   0.721772E-03  -0.898755E-06   0.132236E-06
    55   0.152271E+04  -0.512730E+00   0.708461E-03  -0.512730E+00   0.159920E+00  -0.961233E-06   0.708461E-03  -0.961233E-06   0.131655E-06
    56   0.154375E+04  -0.764972E+00   0.695686E-03  -0.764972E+00   0.169120E+00  -0.937851E-06   0.695686E-03  -0.937851E-06   0.131064E-06
