#           k/h    P           
   0.420980E-02   0.130497E+05
   0.429484E-02   0.132433E+05
   0.438160E-02   0.134384E+05
   0.447012E-02   0.136349E+05
   0.456042E-02   0.138327E+05
   0.465255E-02   0.140319E+05
   0.474653E-02   0.142324E+05
   0.484242E-02   0.144340E+05
   0.494024E-02   0.146368E+05
   0.504004E-02   0.148406E+05
   0.514186E-02   0.150455E+05
   0.524573E-02   0.152513E+05
   0.535170E-02   0.154579E+05
   0.545981E-02   0.156654E+05
   0.557011E-02   0.158735E+05
   0.568263E-02   0.160823E+05
   0.579743E-02   0.162916E+05
   0.591455E-02   0.165014E+05
   0.603403E-02   0.167116E+05
   0.615592E-02   0.169220E+05
   0.628028E-02   0.171326E+05
   0.640715E-02   0.173433E+05
   0.653658E-02   0.175538E+05
   0.666863E-02   0.177641E+05
   0.680335E-02   0.179741E+05
   0.694078E-02   0.181835E+05
   0.708100E-02   0.183923E+05
   0.722404E-02   0.186004E+05
   0.736998E-02   0.188075E+05
   0.751886E-02   0.190137E+05
   0.767075E-02   0.192186E+05
   0.782571E-02   0.194223E+05
   0.798380E-02   0.196246E+05
   0.814509E-02   0.198252E+05
   0.830963E-02   0.200241E+05
   0.847750E-02   0.202210E+05
   0.864875E-02   0.204158E+05
   0.882347E-02   0.206084E+05
   0.900171E-02   0.207984E+05
   0.918356E-02   0.209857E+05
   0.936908E-02   0.211702E+05
   0.955835E-02   0.213516E+05
   0.975144E-02   0.215296E+05
   0.994843E-02   0.217041E+05
   0.101494E-01   0.218749E+05
   0.103544E-01   0.220418E+05
   0.105636E-01   0.222044E+05
   0.107770E-01   0.223626E+05
   0.109947E-01   0.225162E+05
   0.112168E-01   0.226648E+05
   0.114434E-01   0.228083E+05
   0.116746E-01   0.229465E+05
   0.119104E-01   0.230789E+05
   0.121510E-01   0.232056E+05
   0.123965E-01   0.233260E+05
   0.126469E-01   0.234401E+05
   0.129024E-01   0.235475E+05
   0.131631E-01   0.236479E+05
   0.134290E-01   0.237411E+05
   0.137003E-01   0.238269E+05
   0.139770E-01   0.239049E+05
   0.142594E-01   0.239748E+05
   0.145474E-01   0.240365E+05
   0.148413E-01   0.240897E+05
   0.151411E-01   0.241340E+05
   0.154470E-01   0.241693E+05
   0.157590E-01   0.241952E+05
   0.160774E-01   0.242116E+05
   0.164022E-01   0.242181E+05
   0.167335E-01   0.242146E+05
   0.170716E-01   0.242008E+05
   0.174164E-01   0.241766E+05
   0.177683E-01   0.241416E+05
   0.181272E-01   0.240957E+05
   0.184934E-01   0.240388E+05
   0.188670E-01   0.239706E+05
   0.192481E-01   0.238911E+05
   0.196370E-01   0.238001E+05
   0.200337E-01   0.236975E+05
   0.204384E-01   0.235833E+05
   0.208513E-01   0.234574E+05
   0.212725E-01   0.233197E+05
   0.217022E-01   0.231704E+05
   0.221406E-01   0.230094E+05
   0.225879E-01   0.228368E+05
   0.230442E-01   0.226527E+05
   0.235097E-01   0.224574E+05
   0.239847E-01   0.222509E+05
   0.244692E-01   0.220335E+05
   0.249635E-01   0.218055E+05
   0.254678E-01   0.215673E+05
   0.259823E-01   0.213192E+05
   0.265072E-01   0.210615E+05
   0.270426E-01   0.207948E+05
   0.275889E-01   0.205195E+05
   0.281463E-01   0.202362E+05
   0.287149E-01   0.199455E+05
   0.292949E-01   0.196481E+05
   0.298867E-01   0.193444E+05
   0.304905E-01   0.190354E+05
   0.311064E-01   0.187219E+05
   0.317348E-01   0.184045E+05
   0.323759E-01   0.180840E+05
   0.330299E-01   0.177613E+05
   0.336972E-01   0.174372E+05
   0.343779E-01   0.171126E+05
   0.350724E-01   0.167884E+05
   0.357809E-01   0.164654E+05
   0.365038E-01   0.161445E+05
   0.372412E-01   0.158265E+05
   0.379935E-01   0.155126E+05
   0.387610E-01   0.152035E+05
   0.395440E-01   0.149000E+05
   0.403429E-01   0.146029E+05
   0.411579E-01   0.143124E+05
   0.419893E-01   0.140291E+05
   0.428375E-01   0.137533E+05
   0.437029E-01   0.134853E+05
   0.445858E-01   0.132256E+05
   0.454865E-01   0.129750E+05
   0.464053E-01   0.127342E+05
   0.473428E-01   0.125038E+05
   0.482992E-01   0.122844E+05
   0.492749E-01   0.120756E+05
   0.502703E-01   0.118763E+05
   0.512858E-01   0.116855E+05
   0.523219E-01   0.115025E+05
   0.533789E-01   0.113264E+05
   0.544572E-01   0.111563E+05
   0.555573E-01   0.109916E+05
   0.566796E-01   0.108314E+05
   0.578246E-01   0.106750E+05
   0.589927E-01   0.105215E+05
   0.601845E-01   0.103698E+05
   0.614003E-01   0.102191E+05
   0.626407E-01   0.100684E+05
   0.639061E-01   0.991639E+04
   0.651971E-01   0.976199E+04
   0.665142E-01   0.960404E+04
   0.678578E-01   0.944117E+04
   0.692287E-01   0.927211E+04
   0.706272E-01   0.909579E+04
   0.720539E-01   0.891174E+04
   0.735095E-01   0.871972E+04
   0.749945E-01   0.851969E+04
   0.765095E-01   0.831228E+04
   0.780551E-01   0.809833E+04
   0.796319E-01   0.787887E+04
   0.812406E-01   0.765548E+04
   0.828817E-01   0.742977E+04
   0.845561E-01   0.720349E+04
   0.862642E-01   0.697858E+04
   0.880068E-01   0.675683E+04
   0.897847E-01   0.653984E+04
   0.915985E-01   0.632905E+04
   0.934489E-01   0.612584E+04
   0.953367E-01   0.593158E+04
   0.972626E-01   0.574748E+04
   0.992274E-01   0.557445E+04
   0.101232E+00   0.541315E+04
   0.103277E+00   0.526410E+04
   0.105363E+00   0.512709E+04
   0.107492E+00   0.500161E+04
   0.109663E+00   0.488686E+04
   0.111879E+00   0.478122E+04
