#           k/h    P           
   0.184934E-01   0.241251E+05
   0.188670E-01   0.240615E+05
   0.192481E-01   0.239868E+05
   0.196370E-01   0.239008E+05
   0.200337E-01   0.238034E+05
   0.204384E-01   0.236945E+05
   0.208513E-01   0.235742E+05
   0.212725E-01   0.234423E+05
   0.217022E-01   0.232990E+05
   0.221406E-01   0.231441E+05
   0.225879E-01   0.229778E+05
   0.230442E-01   0.228003E+05
   0.235097E-01   0.226116E+05
   0.239847E-01   0.224119E+05
   0.244692E-01   0.222014E+05
   0.249635E-01   0.219804E+05
   0.254678E-01   0.217493E+05
   0.259823E-01   0.215082E+05
   0.265072E-01   0.212577E+05
   0.270426E-01   0.209981E+05
   0.275889E-01   0.207300E+05
   0.281463E-01   0.204538E+05
   0.287149E-01   0.201701E+05
   0.292949E-01   0.198794E+05
   0.298867E-01   0.195825E+05
   0.304905E-01   0.192800E+05
   0.311064E-01   0.189727E+05
   0.317348E-01   0.186613E+05
   0.323759E-01   0.183466E+05
   0.330299E-01   0.180293E+05
   0.336972E-01   0.177104E+05
   0.343779E-01   0.173906E+05
   0.350724E-01   0.170709E+05
   0.357809E-01   0.167520E+05
   0.365038E-01   0.164347E+05
   0.372412E-01   0.161201E+05
   0.379935E-01   0.158092E+05
   0.387610E-01   0.155028E+05
   0.395440E-01   0.152019E+05
   0.403429E-01   0.149069E+05
   0.411579E-01   0.146185E+05
   0.419893E-01   0.143370E+05
   0.428375E-01   0.140628E+05
   0.437029E-01   0.137962E+05
   0.445858E-01   0.135380E+05
   0.454865E-01   0.132889E+05
   0.464053E-01   0.130499E+05
   0.473428E-01   0.128218E+05
   0.482992E-01   0.126052E+05
   0.492749E-01   0.123997E+05
   0.502703E-01   0.122044E+05
   0.512858E-01   0.120183E+05
   0.523219E-01   0.118405E+05
   0.533789E-01   0.116703E+05
   0.544572E-01   0.115067E+05
   0.555573E-01   0.113491E+05
   0.566796E-01   0.111966E+05
   0.578246E-01   0.110486E+05
   0.589927E-01   0.109038E+05
   0.601845E-01   0.107614E+05
   0.614003E-01   0.106203E+05
   0.626407E-01   0.104793E+05
   0.639061E-01   0.103369E+05
   0.651971E-01   0.101917E+05
   0.665142E-01   0.100422E+05
   0.678578E-01   0.988669E+04
   0.692287E-01   0.972325E+04
   0.706272E-01   0.955041E+04
   0.720539E-01   0.936720E+04
   0.735095E-01   0.917296E+04
   0.749945E-01   0.896729E+04
   0.765095E-01   0.875062E+04
   0.780551E-01   0.852366E+04
   0.796319E-01   0.828744E+04
   0.812406E-01   0.804383E+04
   0.828817E-01   0.779477E+04
   0.845561E-01   0.754241E+04
   0.862642E-01   0.728914E+04
   0.880068E-01   0.703718E+04
   0.897847E-01   0.678889E+04
   0.915985E-01   0.654648E+04
   0.934489E-01   0.631215E+04
   0.953367E-01   0.608821E+04
   0.972626E-01   0.587665E+04
   0.992274E-01   0.567924E+04
