#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    15   0.844338E+03   0.964857E+00   0.192133E-02   0.964857E+00   0.239884E-02  -0.148947E-05   0.192133E-02  -0.148947E-05   0.122019E-06
    16   0.853937E+03   0.102605E+01   0.185524E-02   0.102605E+01   0.264697E-02  -0.131699E-05   0.185524E-02  -0.131699E-05   0.124272E-06
    17   0.865281E+03   0.108948E+01   0.179102E-02   0.108948E+01   0.301024E-02  -0.828082E-06   0.179102E-02  -0.828082E-06   0.126287E-06
    18   0.877226E+03   0.115391E+01   0.173122E-02   0.115391E+01   0.353231E-02  -0.253199E-06   0.173122E-02  -0.253199E-06   0.128098E-06
    19   0.890530E+03   0.122252E+01   0.167567E-02   0.122252E+01   0.421680E-02   0.158065E-06   0.167567E-02   0.158065E-06   0.129716E-06
    20   0.903583E+03   0.129028E+01   0.162356E-02   0.129028E+01   0.504122E-02   0.223353E-06   0.162356E-02   0.223353E-06   0.131149E-06
    21   0.917081E+03   0.136177E+01   0.157429E-02   0.136177E+01   0.599909E-02   0.484211E-07   0.157429E-02   0.484211E-07   0.132417E-06
    22   0.931054E+03   0.143735E+01   0.152737E-02   0.143735E+01   0.710133E-02  -0.205985E-06   0.152737E-02  -0.205985E-06   0.133544E-06
    23   0.945115E+03   0.151435E+01   0.148264E-02   0.151435E+01   0.834013E-02  -0.447266E-06   0.148264E-02  -0.447266E-06   0.134536E-06
    24   0.959584E+03   0.158935E+01   0.144001E-02   0.158935E+01   0.971257E-02  -0.618591E-06   0.144001E-02  -0.618591E-06   0.135402E-06
    25   0.974596E+03   0.165457E+01   0.139941E-02   0.165457E+01   0.112233E-01  -0.738066E-06   0.139941E-02  -0.738066E-06   0.136152E-06
    26   0.989660E+03   0.171368E+01   0.136070E-02   0.171368E+01   0.128846E-01  -0.824901E-06   0.136070E-02  -0.824901E-06   0.136799E-06
    27   0.100518E+04   0.176747E+01   0.132355E-02   0.176747E+01   0.147073E-01  -0.827801E-06   0.132355E-02  -0.827801E-06   0.137350E-06
    28   0.102100E+04   0.181118E+01   0.128768E-02   0.181118E+01   0.166855E-01  -0.699750E-06   0.128768E-02  -0.699750E-06   0.137813E-06
    29   0.103702E+04   0.184986E+01   0.125330E-02   0.184986E+01   0.188454E-01  -0.481360E-06   0.125330E-02  -0.481360E-06   0.138188E-06
    30   0.105345E+04   0.187686E+01   0.122065E-02   0.187686E+01   0.212155E-01  -0.244897E-06   0.122065E-02  -0.244897E-06   0.138476E-06
    31   0.106968E+04   0.190297E+01   0.118961E-02   0.190297E+01   0.237922E-01  -0.101618E-06   0.118961E-02  -0.101618E-06   0.138688E-06
    32   0.108651E+04   0.192313E+01   0.115997E-02   0.192313E+01   0.265914E-01  -0.140448E-06   0.115997E-02  -0.140448E-06   0.138837E-06
    33   0.110342E+04   0.193581E+01   0.113156E-02   0.193581E+01   0.295729E-01  -0.321998E-06   0.113156E-02  -0.321998E-06   0.138925E-06
    34   0.112039E+04   0.194206E+01   0.110420E-02   0.194206E+01   0.327620E-01  -0.565649E-06   0.110420E-02  -0.565649E-06   0.138955E-06
    35   0.113800E+04   0.193271E+01   0.107765E-02   0.193271E+01   0.361655E-01  -0.754156E-06   0.107765E-02  -0.754156E-06   0.138931E-06
    36   0.115533E+04   0.191803E+01   0.105179E-02   0.191803E+01   0.398122E-01  -0.789742E-06   0.105179E-02  -0.789742E-06   0.138858E-06
    37   0.117293E+04   0.189218E+01   0.102702E-02   0.189218E+01   0.437275E-01  -0.689119E-06   0.102702E-02  -0.689119E-06   0.138738E-06
    38   0.119089E+04   0.185717E+01   0.100371E-02   0.185717E+01   0.478993E-01  -0.501979E-06   0.100371E-02  -0.501979E-06   0.138576E-06
    39   0.120912E+04   0.181278E+01   0.981647E-03   0.181278E+01   0.523172E-01  -0.295444E-06   0.981647E-03  -0.295444E-06   0.138374E-06
    40   0.122754E+04   0.175724E+01   0.960466E-03   0.175724E+01   0.569738E-01  -0.140992E-06   0.960466E-03  -0.140992E-06   0.138133E-06
    41   0.124606E+04   0.168933E+01   0.939874E-03   0.168933E+01   0.618659E-01  -0.919218E-07   0.939874E-03  -0.919218E-07   0.137855E-06
    42   0.126468E+04   0.161004E+01   0.919820E-03   0.161004E+01   0.670063E-01  -0.128808E-06   0.919820E-03  -0.128808E-06   0.137543E-06
    43   0.128343E+04   0.152052E+01   0.900315E-03   0.152052E+01   0.724120E-01  -0.214043E-06   0.900315E-03  -0.214043E-06   0.137199E-06
    44   0.130233E+04   0.142031E+01   0.881371E-03   0.142031E+01   0.780977E-01  -0.310023E-06   0.881371E-03  -0.310023E-06   0.136826E-06
    45   0.132147E+04   0.130865E+01   0.862997E-03   0.130865E+01   0.840751E-01  -0.379139E-06   0.862997E-03  -0.379139E-06   0.136426E-06
    46   0.134081E+04   0.118519E+01   0.845198E-03   0.118519E+01   0.903515E-01  -0.394731E-06   0.845198E-03  -0.394731E-06   0.136002E-06
    47   0.136032E+04   0.104939E+01   0.827954E-03   0.104939E+01   0.969273E-01  -0.373912E-06   0.827954E-03  -0.373912E-06   0.135554E-06
    48   0.138000E+04   0.900634E+00   0.811237E-03   0.900634E+00   0.103794E+00  -0.344740E-06   0.811237E-03  -0.344740E-06   0.135086E-06
    49   0.139981E+04   0.738374E+00   0.795021E-03   0.738374E+00   0.110943E+00  -0.335272E-06   0.795021E-03  -0.335272E-06   0.134598E-06
    50   0.141982E+04   0.562214E+00   0.779279E-03   0.562214E+00   0.118375E+00  -0.373567E-06   0.779279E-03  -0.373567E-06   0.134091E-06
    51   0.144009E+04   0.372064E+00   0.763992E-03   0.372064E+00   0.126096E+00  -0.477264E-06   0.763992E-03  -0.477264E-06   0.133569E-06
    52   0.146056E+04   0.168873E+00   0.749172E-03   0.168873E+00   0.134108E+00  -0.622331E-06   0.749172E-03  -0.622331E-06   0.133031E-06
