#    L    TT             EE             BB             TE          
    91   0.242669E+04   0.638441E+00   0.260483E-02  -0.172904E+02
    92   0.245595E+04   0.653991E+00   0.266277E-02  -0.179258E+02
    93   0.248544E+04   0.669512E+00   0.272139E-02  -0.185658E+02
    94   0.251514E+04   0.684992E+00   0.278070E-02  -0.192101E+02
    95   0.254506E+04   0.700414E+00   0.284069E-02  -0.198581E+02
    96   0.257521E+04   0.715766E+00   0.290137E-02  -0.205095E+02
    97   0.260559E+04   0.731032E+00   0.296274E-02  -0.211638E+02
    98   0.263619E+04   0.746198E+00   0.302481E-02  -0.218206E+02
    99   0.266700E+04   0.761249E+00   0.308758E-02  -0.224793E+02
   100   0.269803E+04   0.776173E+00   0.315106E-02  -0.231395E+02
   101   0.272928E+04   0.790957E+00   0.321524E-02  -0.238006E+02
   102   0.276075E+04   0.805577E+00   0.328014E-02  -0.244624E+02
   103   0.279242E+04   0.820035E+00   0.334576E-02  -0.251239E+02
   104   0.282429E+04   0.834301E+00   0.341209E-02  -0.257850E+02
   105   0.285635E+04   0.848368E+00   0.347915E-02  -0.264449E+02
   106   0.288861E+04   0.862220E+00   0.354693E-02  -0.271031E+02
   107   0.292104E+04   0.875851E+00   0.361545E-02  -0.277590E+02
   108   0.295364E+04   0.889240E+00   0.368470E-02  -0.284122E+02
   109   0.298641E+04   0.902378E+00   0.375469E-02  -0.290619E+02
   110   0.301935E+04   0.915243E+00   0.382543E-02  -0.297077E+02
   111   0.305243E+04   0.927830E+00   0.389691E-02  -0.303490E+02
   112   0.308567E+04   0.940129E+00   0.396915E-02  -0.309853E+02
   113   0.311905E+04   0.952118E+00   0.404215E-02  -0.316159E+02
   114   0.315257E+04   0.963784E+00   0.411590E-02  -0.322404E+02
   115   0.318621E+04   0.975124E+00   0.419043E-02  -0.328581E+02
   116   0.321998E+04   0.986125E+00   0.426572E-02  -0.334685E+02
   117   0.325387E+04   0.996764E+00   0.434180E-02  -0.340710E+02
   118   0.328786E+04   0.100704E+01   0.441865E-02  -0.346650E+02
   119   0.332195E+04   0.101694E+01   0.449629E-02  -0.352500E+02
   120   0.335613E+04   0.102646E+01   0.457472E-02  -0.358255E+02
   121   0.339041E+04   0.103557E+01   0.465395E-02  -0.363908E+02
   122   0.342475E+04   0.104428E+01   0.473398E-02  -0.369455E+02
   123   0.345916E+04   0.105257E+01   0.481482E-02  -0.374890E+02
   124   0.349364E+04   0.106044E+01   0.489647E-02  -0.380207E+02
   125   0.352816E+04   0.106787E+01   0.497894E-02  -0.385400E+02
   126   0.356272E+04   0.107486E+01   0.506224E-02  -0.390465E+02
   127   0.359732E+04   0.108141E+01   0.514637E-02  -0.395396E+02
   128   0.363193E+04   0.108749E+01   0.523134E-02  -0.400189E+02
   129   0.366657E+04   0.109312E+01   0.531716E-02  -0.404837E+02
   130   0.370121E+04   0.109827E+01   0.540382E-02  -0.409335E+02
   131   0.373585E+04   0.110294E+01   0.549134E-02  -0.413678E+02
   132   0.377048E+04   0.110714E+01   0.557973E-02  -0.417862E+02
   133   0.380509E+04   0.111085E+01   0.566899E-02  -0.421881E+02
   134   0.383967E+04   0.111409E+01   0.575912E-02  -0.425731E+02
   135   0.387422E+04   0.111683E+01   0.585014E-02  -0.429408E+02
   136   0.390873E+04   0.111908E+01   0.594206E-02  -0.432905E+02
   137   0.394319E+04   0.112084E+01   0.603487E-02  -0.436219E+02
   138   0.397760E+04   0.112211E+01   0.612858E-02  -0.439345E+02
   139   0.401193E+04   0.112288E+01   0.622321E-02  -0.442280E+02
   140   0.404620E+04   0.112316E+01   0.631876E-02  -0.445020E+02
   141   0.408038E+04   0.112296E+01   0.641523E-02  -0.447559E+02
   142   0.411448E+04   0.112226E+01   0.651263E-02  -0.449894E+02
   143   0.414848E+04   0.112108E+01   0.661098E-02  -0.452022E+02
   144   0.418237E+04   0.111942E+01   0.671027E-02  -0.453938E+02
   145   0.421615E+04   0.111727E+01   0.681051E-02  -0.455638E+02
   146   0.424979E+04   0.111465E+01   0.691171E-02  -0.457118E+02
   147   0.428328E+04   0.111157E+01   0.701388E-02  -0.458374E+02
   148   0.431662E+04   0.110803E+01   0.711701E-02  -0.459403E+02
   149   0.434977E+04   0.110403E+01   0.722112E-02  -0.460200E+02
   150   0.438274E+04   0.109958E+01   0.732622E-02  -0.460760E+02
   151   0.441549E+04   0.109470E+01   0.743230E-02  -0.461082E+02
   152   0.444804E+04   0.108938E+01   0.753937E-02  -0.461162E+02
   153   0.448038E+04   0.108364E+01   0.764744E-02  -0.460997E+02
   154   0.451249E+04   0.107751E+01   0.775650E-02  -0.460585E+02
   155   0.454437E+04   0.107097E+01   0.786658E-02  -0.459923E+02
   156   0.457603E+04   0.106405E+01   0.797766E-02  -0.459010E+02
   157   0.460745E+04   0.105674E+01   0.808975E-02  -0.457842E+02
   158   0.463864E+04   0.104909E+01   0.820286E-02  -0.456417E+02
   159   0.466957E+04   0.104109E+01   0.831698E-02  -0.454733E+02
   160   0.470024E+04   0.103276E+01   0.843213E-02  -0.452789E+02
   161   0.473063E+04   0.102412E+01   0.854829E-02  -0.450581E+02
   162   0.476073E+04   0.101518E+01   0.866548E-02  -0.448108E+02
   163   0.479053E+04   0.100597E+01   0.878369E-02  -0.445367E+02
   164   0.482000E+04   0.996495E+00   0.890292E-02  -0.442359E+02
   165   0.484916E+04   0.986771E+00   0.902317E-02  -0.439079E+02
   166   0.487798E+04   0.976824E+00   0.914445E-02  -0.435527E+02
   167   0.490646E+04   0.966675E+00   0.926675E-02  -0.431702E+02
   168   0.493458E+04   0.956347E+00   0.939008E-02  -0.427604E+02
   169   0.496234E+04   0.945862E+00   0.951442E-02  -0.423232E+02
   170   0.498974E+04   0.935235E+00   0.963977E-02  -0.418585E+02
   171   0.501675E+04   0.924496E+00   0.976615E-02  -0.413663E+02
   172   0.504338E+04   0.913666E+00   0.989353E-02  -0.408465E+02
   173   0.506962E+04   0.902768E+00   0.100219E-01  -0.402990E+02
   174   0.509545E+04   0.891825E+00   0.101513E-01  -0.397239E+02
   175   0.512087E+04   0.880873E+00   0.102817E-01  -0.391213E+02
   176   0.514587E+04   0.869928E+00   0.104131E-01  -0.384911E+02
   177   0.517043E+04   0.859026E+00   0.105455E-01  -0.378334E+02
   178   0.519456E+04   0.848190E+00   0.106788E-01  -0.371482E+02
   179   0.521824E+04   0.837441E+00   0.108132E-01  -0.364355E+02
   180   0.524147E+04   0.826818E+00   0.109485E-01  -0.356955E+02
   181   0.526423E+04   0.816350E+00   0.110848E-01  -0.349283E+02
   182   0.528653E+04   0.806067E+00   0.112220E-01  -0.341340E+02
   183   0.530836E+04   0.795990E+00   0.113602E-01  -0.333128E+02
   184   0.532970E+04   0.786158E+00   0.114993E-01  -0.324649E+02
   185   0.535055E+04   0.776607E+00   0.116394E-01  -0.315902E+02
   186   0.537091E+04   0.767359E+00   0.117803E-01  -0.306891E+02
   187   0.539076E+04   0.758445E+00   0.119223E-01  -0.297618E+02
   188   0.541011E+04   0.749905E+00   0.120651E-01  -0.288084E+02
   189   0.542893E+04   0.741770E+00   0.122088E-01  -0.278291E+02
   190   0.544723E+04   0.734074E+00   0.123534E-01  -0.268244E+02
   191   0.546501E+04   0.726849E+00   0.124989E-01  -0.257943E+02
   192   0.548224E+04   0.720130E+00   0.126453E-01  -0.247391E+02
   193   0.549893E+04   0.713950E+00   0.127925E-01  -0.236591E+02
   194   0.551507E+04   0.708345E+00   0.129406E-01  -0.225546E+02
   195   0.553065E+04   0.703350E+00   0.130895E-01  -0.214260E+02
   196   0.554568E+04   0.699001E+00   0.132393E-01  -0.202736E+02
