#    L    TT             EE             BB             TE          
    91   0.242667E+04   0.638327E+00   0.248471E-02  -0.172906E+02
    92   0.245593E+04   0.653875E+00   0.254001E-02  -0.179261E+02
    93   0.248542E+04   0.669394E+00   0.259596E-02  -0.185661E+02
    94   0.251511E+04   0.684871E+00   0.265257E-02  -0.192104E+02
    95   0.254504E+04   0.700291E+00   0.270984E-02  -0.198584E+02
    96   0.257519E+04   0.715640E+00   0.276776E-02  -0.205098E+02
    97   0.260557E+04   0.730904E+00   0.282636E-02  -0.211641E+02
    98   0.263617E+04   0.746067E+00   0.288562E-02  -0.218209E+02
    99   0.266698E+04   0.761115E+00   0.294555E-02  -0.224797E+02
   100   0.269801E+04   0.776037E+00   0.300616E-02  -0.231398E+02
   101   0.272926E+04   0.790818E+00   0.306745E-02  -0.238010E+02
   102   0.276073E+04   0.805436E+00   0.312943E-02  -0.244627E+02
   103   0.279240E+04   0.819892E+00   0.319209E-02  -0.251243E+02
   104   0.282427E+04   0.834155E+00   0.325544E-02  -0.257854E+02
   105   0.285633E+04   0.848219E+00   0.331949E-02  -0.264453E+02
   106   0.288859E+04   0.862069E+00   0.338424E-02  -0.271035E+02
   107   0.292102E+04   0.875697E+00   0.344969E-02  -0.277595E+02
   108   0.295362E+04   0.889083E+00   0.351585E-02  -0.284126E+02
   109   0.298640E+04   0.902218E+00   0.358272E-02  -0.290623E+02
   110   0.301933E+04   0.915081E+00   0.365030E-02  -0.297082E+02
   111   0.305241E+04   0.927664E+00   0.371861E-02  -0.303496E+02
   112   0.308565E+04   0.939961E+00   0.378764E-02  -0.309858E+02
   113   0.311903E+04   0.951948E+00   0.385740E-02  -0.316165E+02
   114   0.315255E+04   0.963610E+00   0.392789E-02  -0.322410E+02
   115   0.318619E+04   0.974948E+00   0.399912E-02  -0.328587E+02
   116   0.321996E+04   0.985946E+00   0.407110E-02  -0.334691E+02
   117   0.325385E+04   0.996582E+00   0.414382E-02  -0.340716E+02
   118   0.328784E+04   0.100686E+01   0.421729E-02  -0.346656E+02
   119   0.332193E+04   0.101675E+01   0.429153E-02  -0.352507E+02
   120   0.335612E+04   0.102626E+01   0.436652E-02  -0.358262E+02
   121   0.339039E+04   0.103538E+01   0.444229E-02  -0.363916E+02
   122   0.342474E+04   0.104408E+01   0.451883E-02  -0.369463E+02
   123   0.345915E+04   0.105237E+01   0.459615E-02  -0.374898E+02
   124   0.349362E+04   0.106023E+01   0.467425E-02  -0.380215E+02
   125   0.352815E+04   0.106766E+01   0.475315E-02  -0.385408E+02
   126   0.356271E+04   0.107465E+01   0.483284E-02  -0.390474E+02
   127   0.359731E+04   0.108119E+01   0.491334E-02  -0.395405E+02
   128   0.363192E+04   0.108727E+01   0.499465E-02  -0.400198E+02
   129   0.366656E+04   0.109289E+01   0.507677E-02  -0.404846E+02
   130   0.370121E+04   0.109804E+01   0.515972E-02  -0.409345E+02
   131   0.373584E+04   0.110271E+01   0.524350E-02  -0.413688E+02
   132   0.377047E+04   0.110691E+01   0.532811E-02  -0.417872E+02
   133   0.380508E+04   0.111062E+01   0.541357E-02  -0.421892E+02
   134   0.383967E+04   0.111385E+01   0.549988E-02  -0.425742E+02
   135   0.387422E+04   0.111659E+01   0.558704E-02  -0.429419E+02
   136   0.390873E+04   0.111883E+01   0.567507E-02  -0.432916E+02
   137   0.394319E+04   0.112059E+01   0.576397E-02  -0.436230E+02
   138   0.397760E+04   0.112185E+01   0.585374E-02  -0.439357E+02
   139   0.401193E+04   0.112262E+01   0.594440E-02  -0.442293E+02
   140   0.404620E+04   0.112290E+01   0.603595E-02  -0.445032E+02
   141   0.408039E+04   0.112269E+01   0.612840E-02  -0.447572E+02
   142   0.411448E+04   0.112199E+01   0.622176E-02  -0.449907E+02
   143   0.414849E+04   0.112081E+01   0.631602E-02  -0.452035E+02
   144   0.418238E+04   0.111914E+01   0.641121E-02  -0.453952E+02
   145   0.421616E+04   0.111699E+01   0.650732E-02  -0.455651E+02
   146   0.424980E+04   0.111437E+01   0.660436E-02  -0.457132E+02
   147   0.428330E+04   0.111128E+01   0.670234E-02  -0.458388E+02
   148   0.431663E+04   0.110774E+01   0.680126E-02  -0.459417E+02
   149   0.434979E+04   0.110373E+01   0.690113E-02  -0.460214E+02
   150   0.438275E+04   0.109928E+01   0.700195E-02  -0.460775E+02
   151   0.441551E+04   0.109439E+01   0.710374E-02  -0.461097E+02
   152   0.444806E+04   0.108907E+01   0.720648E-02  -0.461177E+02
   153   0.448040E+04   0.108333E+01   0.731020E-02  -0.461012E+02
   154   0.451251E+04   0.107719E+01   0.741490E-02  -0.460601E+02
   155   0.454439E+04   0.107064E+01   0.752057E-02  -0.459939E+02
   156   0.457606E+04   0.106372E+01   0.762722E-02  -0.459026E+02
   157   0.460748E+04   0.105641E+01   0.773485E-02  -0.457859E+02
   158   0.463866E+04   0.104875E+01   0.784348E-02  -0.456434E+02
   159   0.466960E+04   0.104075E+01   0.795309E-02  -0.454750E+02
   160   0.470027E+04   0.103241E+01   0.806370E-02  -0.452806E+02
   161   0.473066E+04   0.102377E+01   0.817530E-02  -0.450598E+02
   162   0.476076E+04   0.101482E+01   0.828790E-02  -0.448125E+02
   163   0.479056E+04   0.100561E+01   0.840150E-02  -0.445385E+02
   164   0.482004E+04   0.996126E+00   0.851609E-02  -0.442376E+02
   165   0.484920E+04   0.986397E+00   0.863168E-02  -0.439096E+02
   166   0.487802E+04   0.976445E+00   0.874827E-02  -0.435545E+02
   167   0.490650E+04   0.966291E+00   0.886586E-02  -0.431720E+02
   168   0.493463E+04   0.955957E+00   0.898444E-02  -0.427622E+02
   169   0.496239E+04   0.945467E+00   0.910401E-02  -0.423250E+02
   170   0.498979E+04   0.934834E+00   0.922457E-02  -0.418603E+02
