#    L    TT             EE             BB             TE          
    91   0.242491E+04   0.583708E+00   0.222018E-02  -0.163850E+02
    92   0.245426E+04   0.598311E+00   0.226968E-02  -0.169913E+02
    93   0.248380E+04   0.612912E+00   0.231977E-02  -0.176023E+02
    94   0.251355E+04   0.627501E+00   0.237044E-02  -0.182179E+02
    95   0.254350E+04   0.642064E+00   0.242171E-02  -0.188378E+02
    96   0.257366E+04   0.656587E+00   0.247356E-02  -0.194614E+02
    97   0.260402E+04   0.671058E+00   0.252601E-02  -0.200884E+02
    98   0.263460E+04   0.685463E+00   0.257906E-02  -0.207184E+02
    99   0.266538E+04   0.699790E+00   0.263272E-02  -0.213510E+02
   100   0.269636E+04   0.714027E+00   0.268697E-02  -0.219856E+02
   101   0.272754E+04   0.728163E+00   0.274183E-02  -0.226219E+02
   102   0.275894E+04   0.742176E+00   0.279731E-02  -0.232596E+02
   103   0.279052E+04   0.756068E+00   0.285339E-02  -0.238978E+02
   104   0.282229E+04   0.769811E+00   0.291010E-02  -0.245364E+02
   105   0.285425E+04   0.783399E+00   0.296742E-02  -0.251748E+02
   106   0.288639E+04   0.796820E+00   0.302536E-02  -0.258123E+02
   107   0.291871E+04   0.810067E+00   0.308393E-02  -0.264486E+02
   108   0.295118E+04   0.823119E+00   0.314313E-02  -0.270832E+02
   109   0.298382E+04   0.835972E+00   0.320296E-02  -0.277154E+02
   110   0.301661E+04   0.848604E+00   0.326343E-02  -0.283448E+02
   111   0.304956E+04   0.861010E+00   0.332454E-02  -0.289710E+02
   112   0.308265E+04   0.873181E+00   0.338629E-02  -0.295932E+02
   113   0.311588E+04   0.885097E+00   0.344869E-02  -0.302112E+02
   114   0.314924E+04   0.896743E+00   0.351173E-02  -0.308242E+02
   115   0.318273E+04   0.908117E+00   0.357543E-02  -0.314318E+02
   116   0.321634E+04   0.919206E+00   0.363979E-02  -0.320335E+02
   117   0.325007E+04   0.929988E+00   0.370481E-02  -0.326287E+02
   118   0.328389E+04   0.940462E+00   0.377049E-02  -0.332168E+02
   119   0.331782E+04   0.950614E+00   0.383685E-02  -0.337975E+02
   120   0.335184E+04   0.960436E+00   0.390388E-02  -0.343701E+02
   121   0.338594E+04   0.969914E+00   0.397159E-02  -0.349340E+02
   122   0.342011E+04   0.979040E+00   0.403998E-02  -0.354890E+02
   123   0.345435E+04   0.987807E+00   0.410906E-02  -0.360343E+02
   124   0.348864E+04   0.996200E+00   0.417883E-02  -0.365694E+02
   125   0.352299E+04   0.100422E+01   0.424930E-02  -0.370939E+02
   126   0.355737E+04   0.101185E+01   0.432048E-02  -0.376073E+02
   127   0.359179E+04   0.101909E+01   0.439236E-02  -0.381090E+02
   128   0.362623E+04   0.102593E+01   0.446496E-02  -0.385987E+02
   129   0.366069E+04   0.103237E+01   0.453828E-02  -0.390757E+02
   130   0.369515E+04   0.103839E+01   0.461232E-02  -0.395396E+02
   131   0.372960E+04   0.104399E+01   0.468710E-02  -0.399899E+02
   132   0.376405E+04   0.104917E+01   0.476261E-02  -0.404262E+02
   133   0.379849E+04   0.105391E+01   0.483887E-02  -0.408479E+02
   134   0.383290E+04   0.105823E+01   0.491587E-02  -0.412546E+02
   135   0.386728E+04   0.106211E+01   0.499364E-02  -0.416460E+02
   136   0.390164E+04   0.106555E+01   0.507216E-02  -0.420215E+02
   137   0.393595E+04   0.106853E+01   0.515145E-02  -0.423805E+02
   138   0.397022E+04   0.107107E+01   0.523152E-02  -0.427229E+02
   139   0.400443E+04   0.107316E+01   0.531236E-02  -0.430481E+02
   140   0.403859E+04   0.107480E+01   0.539400E-02  -0.433558E+02
   141   0.407268E+04   0.107599E+01   0.547643E-02  -0.436456E+02
   142   0.410670E+04   0.107673E+01   0.555966E-02  -0.439171E+02
   143   0.414065E+04   0.107701E+01   0.564370E-02  -0.441699E+02
   144   0.417450E+04   0.107685E+01   0.572854E-02  -0.444036E+02
   145   0.420827E+04   0.107624E+01   0.581421E-02  -0.446179E+02
   146   0.424192E+04   0.107518E+01   0.590071E-02  -0.448123E+02
   147   0.427545E+04   0.107369E+01   0.598803E-02  -0.449865E+02
   148   0.430884E+04   0.107176E+01   0.607620E-02  -0.451402E+02
   149   0.434209E+04   0.106939E+01   0.616520E-02  -0.452728E+02
   150   0.437518E+04   0.106661E+01   0.625506E-02  -0.453841E+02
   151   0.440809E+04   0.106340E+01   0.634576E-02  -0.454737E+02
   152   0.444083E+04   0.105977E+01   0.643733E-02  -0.455413E+02
   153   0.447338E+04   0.105575E+01   0.652976E-02  -0.455865E+02
   154   0.450574E+04   0.105132E+01   0.662306E-02  -0.456093E+02
   155   0.453791E+04   0.104651E+01   0.671723E-02  -0.456092E+02
   156   0.456990E+04   0.104131E+01   0.681228E-02  -0.455859E+02
   157   0.460167E+04   0.103573E+01   0.690821E-02  -0.455393E+02
   158   0.463324E+04   0.102980E+01   0.700503E-02  -0.454689E+02
   159   0.466459E+04   0.102351E+01   0.710273E-02  -0.453746E+02
   160   0.469572E+04   0.101688E+01   0.720132E-02  -0.452562E+02
   161   0.472661E+04   0.100993E+01   0.730081E-02  -0.451133E+02
   162   0.475723E+04   0.100265E+01   0.740119E-02  -0.449459E+02
   163   0.478760E+04   0.995088E+00   0.750247E-02  -0.447534E+02
   164   0.481768E+04   0.987229E+00   0.760465E-02  -0.445360E+02
   165   0.484748E+04   0.979095E+00   0.770772E-02  -0.442932E+02
   166   0.487697E+04   0.970705E+00   0.781170E-02  -0.440250E+02
   167   0.490617E+04   0.962077E+00   0.791658E-02  -0.437311E+02
   168   0.493504E+04   0.953230E+00   0.802236E-02  -0.434116E+02
   169   0.496360E+04   0.944184E+00   0.812904E-02  -0.430664E+02
   170   0.499182E+04   0.934948E+00   0.823662E-02  -0.426952E+02
   171   0.501970E+04   0.925551E+00   0.834509E-02  -0.422981E+02
   172   0.504724E+04   0.916009E+00   0.845447E-02  -0.418749E+02
   173   0.507443E+04   0.906343E+00   0.856473E-02  -0.414256E+02
   174   0.510124E+04   0.896571E+00   0.867590E-02  -0.409501E+02
   175   0.512769E+04   0.886726E+00   0.878795E-02  -0.404486E+02
   176   0.515376E+04   0.876820E+00   0.890089E-02  -0.399209E+02
   177   0.517944E+04   0.866885E+00   0.901471E-02  -0.393669E+02
   178   0.520472E+04   0.856937E+00   0.912941E-02  -0.387867E+02
   179   0.522959E+04   0.846995E+00   0.924499E-02  -0.381802E+02
   180   0.525405E+04   0.837089E+00   0.936144E-02  -0.375474E+02
   181   0.527810E+04   0.827244E+00   0.947876E-02  -0.368886E+02
   182   0.530172E+04   0.817486E+00   0.959694E-02  -0.362035E+02
   183   0.532491E+04   0.807829E+00   0.971599E-02  -0.354925E+02
   184   0.534766E+04   0.798308E+00   0.983588E-02  -0.347555E+02
   185   0.536996E+04   0.788952E+00   0.995662E-02  -0.339924E+02
   186   0.539181E+04   0.779780E+00   0.100782E-01  -0.332036E+02
   187   0.541321E+04   0.770817E+00   0.102006E-01  -0.323891E+02
   188   0.543414E+04   0.762097E+00   0.103239E-01  -0.315491E+02
   189   0.545459E+04   0.753646E+00   0.104479E-01  -0.306836E+02
   190   0.547457E+04   0.745494E+00   0.105728E-01  -0.297929E+02
   191   0.549407E+04   0.737666E+00   0.106985E-01  -0.288772E+02
   192   0.551307E+04   0.730192E+00   0.108250E-01  -0.279365E+02
   193   0.553156E+04   0.723101E+00   0.109523E-01  -0.269711E+02
   194   0.554957E+04   0.716422E+00   0.110804E-01  -0.259814E+02
   195   0.556706E+04   0.710187E+00   0.112093E-01  -0.249674E+02
   196   0.558404E+04   0.704425E+00   0.113389E-01  -0.239296E+02
   197   0.560051E+04   0.699167E+00   0.114693E-01  -0.228681E+02
   198   0.561648E+04   0.694446E+00   0.116005E-01  -0.217834E+02
   199   0.563192E+04   0.690290E+00   0.117324E-01  -0.206755E+02
   200   0.564685E+04   0.686729E+00   0.118650E-01  -0.195450E+02
   201   0.566124E+04   0.683799E+00   0.119984E-01  -0.183921E+02
   202   0.567511E+04   0.681532E+00   0.121326E-01  -0.172171E+02
   203   0.568841E+04   0.679967E+00   0.122674E-01  -0.160204E+02
   204   0.570116E+04   0.679139E+00   0.124029E-01  -0.148022E+02
   205   0.571332E+04   0.679087E+00   0.125392E-01  -0.135629E+02
   206   0.572491E+04   0.679846E+00   0.126761E-01  -0.123029E+02
   207   0.573591E+04   0.681453E+00   0.128137E-01  -0.110224E+02
   208   0.574630E+04   0.683946E+00   0.129520E-01  -0.972195E+01
   209   0.575612E+04   0.687360E+00   0.130909E-01  -0.840195E+01
   210   0.576536E+04   0.691733E+00   0.132305E-01  -0.706290E+01
   211   0.577401E+04   0.697103E+00   0.133708E-01  -0.570524E+01
   212   0.578209E+04   0.703503E+00   0.135116E-01  -0.432946E+01
   213   0.578960E+04   0.710973E+00   0.136531E-01  -0.293602E+01
   214   0.579655E+04   0.719548E+00   0.137952E-01  -0.152538E+01
   215   0.580293E+04   0.729260E+00   0.139379E-01  -0.980357E-01
   216   0.580874E+04   0.740153E+00   0.140812E-01   0.134550E+01
   217   0.581396E+04   0.752257E+00   0.142251E-01   0.280471E+01
   218   0.581860E+04   0.765602E+00   0.143695E-01   0.427916E+01
   219   0.582265E+04   0.780232E+00   0.145145E-01   0.576829E+01
   220   0.582610E+04   0.796177E+00   0.146600E-01   0.727164E+01
   221   0.582895E+04   0.813466E+00   0.148060E-01   0.878857E+01
   222   0.583120E+04   0.832145E+00   0.149526E-01   0.103187E+02
   223   0.583285E+04   0.852235E+00   0.150996E-01   0.118614E+02
   224   0.583390E+04   0.873773E+00   0.152472E-01   0.134161E+02
   225   0.583435E+04   0.896782E+00   0.153952E-01   0.149822E+02
   226   0.583420E+04   0.921306E+00   0.155437E-01   0.165592E+02
   227   0.583344E+04   0.947375E+00   0.156926E-01   0.181464E+02
   228   0.583209E+04   0.975011E+00   0.158419E-01   0.197434E+02
   229   0.583014E+04   0.100425E+01   0.159917E-01   0.213494E+02
   230   0.582760E+04   0.103512E+01   0.161419E-01   0.229640E+02
   231   0.582445E+04   0.106765E+01   0.162924E-01   0.245865E+02
   232   0.582072E+04   0.110185E+01   0.164433E-01   0.262162E+02
   233   0.581638E+04   0.113778E+01   0.165945E-01   0.278527E+02
   234   0.581145E+04   0.117543E+01   0.167461E-01   0.294951E+02
   235   0.580594E+04   0.121486E+01   0.168980E-01   0.311431E+02
   236   0.579982E+04   0.125608E+01   0.170502E-01   0.327958E+02
   237   0.579312E+04   0.129911E+01   0.172026E-01   0.344526E+02
   238   0.578583E+04   0.134397E+01   0.173554E-01   0.361130E+02
   239   0.577797E+04   0.139067E+01   0.175083E-01   0.377764E+02
   240   0.576952E+04   0.143926E+01   0.176615E-01   0.394418E+02
   241   0.576048E+04   0.148975E+01   0.178149E-01   0.411089E+02
   242   0.575088E+04   0.154216E+01   0.179685E-01   0.427769E+02
   243   0.574070E+04   0.159650E+01   0.181222E-01   0.444451E+02
