#           k/h    P           
   0.420980E-02   0.128532E+05
   0.429484E-02   0.130398E+05
   0.438160E-02   0.132276E+05
   0.447012E-02   0.134166E+05
   0.456042E-02   0.136067E+05
   0.465255E-02   0.137978E+05
   0.474653E-02   0.139900E+05
   0.484242E-02   0.141832E+05
   0.494024E-02   0.143772E+05
   0.504004E-02   0.145721E+05
   0.514186E-02   0.147677E+05
   0.524573E-02   0.149639E+05
   0.535170E-02   0.151607E+05
   0.545981E-02   0.153581E+05
   0.557011E-02   0.155558E+05
   0.568263E-02   0.157539E+05
   0.579743E-02   0.159522E+05
   0.591455E-02   0.161507E+05
   0.603403E-02   0.163492E+05
   0.615592E-02   0.165476E+05
   0.628028E-02   0.167459E+05
   0.640715E-02   0.169439E+05
   0.653658E-02   0.171415E+05
   0.666863E-02   0.173385E+05
   0.680335E-02   0.175350E+05
   0.694078E-02   0.177306E+05
   0.708100E-02   0.179254E+05
   0.722404E-02   0.181192E+05
   0.736998E-02   0.183117E+05
   0.751886E-02   0.185030E+05
   0.767075E-02   0.186928E+05
   0.782571E-02   0.188810E+05
   0.798380E-02   0.190674E+05
   0.814509E-02   0.192519E+05
   0.830963E-02   0.194343E+05
   0.847750E-02   0.196145E+05
   0.864875E-02   0.197922E+05
   0.882347E-02   0.199673E+05
   0.900171E-02   0.201397E+05
   0.918356E-02   0.203091E+05
   0.936908E-02   0.204753E+05
   0.955835E-02   0.206382E+05
   0.975144E-02   0.207975E+05
   0.994843E-02   0.209530E+05
   0.101494E-01   0.211047E+05
   0.103544E-01   0.212521E+05
   0.105636E-01   0.213952E+05
   0.107770E-01   0.215337E+05
   0.109947E-01   0.216674E+05
   0.112168E-01   0.217961E+05
   0.114434E-01   0.219195E+05
   0.116746E-01   0.220375E+05
   0.119104E-01   0.221497E+05
   0.121510E-01   0.222560E+05
   0.123965E-01   0.223562E+05
   0.126469E-01   0.224499E+05
   0.129024E-01   0.225370E+05
   0.131631E-01   0.226172E+05
   0.134290E-01   0.226903E+05
   0.137003E-01   0.227560E+05
   0.139770E-01   0.228142E+05
   0.142594E-01   0.228645E+05
   0.145474E-01   0.229067E+05
   0.148413E-01   0.229407E+05
   0.151411E-01   0.229661E+05
   0.154470E-01   0.229829E+05
   0.157590E-01   0.229906E+05
   0.160774E-01   0.229892E+05
   0.164022E-01   0.229784E+05
   0.167335E-01   0.229580E+05
   0.170716E-01   0.229278E+05
   0.174164E-01   0.228878E+05
   0.177683E-01   0.228376E+05
   0.181272E-01   0.227771E+05
   0.184934E-01   0.227062E+05
   0.188670E-01   0.226249E+05
   0.192481E-01   0.225328E+05
   0.196370E-01   0.224301E+05
   0.200337E-01   0.223166E+05
   0.204384E-01   0.221923E+05
   0.208513E-01   0.220571E+05
   0.212725E-01   0.219110E+05
   0.217022E-01   0.217542E+05
   0.221406E-01   0.215866E+05
   0.225879E-01   0.214083E+05
   0.230442E-01   0.212195E+05
   0.235097E-01   0.210203E+05
   0.239847E-01   0.208110E+05
   0.244692E-01   0.205917E+05
   0.249635E-01   0.203627E+05
   0.254678E-01   0.201244E+05
   0.259823E-01   0.198770E+05
   0.265072E-01   0.196210E+05
   0.270426E-01   0.193568E+05
   0.275889E-01   0.190848E+05
   0.281463E-01   0.188055E+05
   0.287149E-01   0.185196E+05
   0.292949E-01   0.182277E+05
   0.298867E-01   0.179303E+05
   0.304905E-01   0.176280E+05
   0.311064E-01   0.173216E+05
   0.317348E-01   0.170117E+05
   0.323759E-01   0.166992E+05
