#           k/h    P           
   0.420980E-02   0.872542E+04
   0.429484E-02   0.885493E+04
   0.438160E-02   0.898542E+04
   0.447012E-02   0.911685E+04
   0.456042E-02   0.924920E+04
   0.465255E-02   0.938243E+04
   0.474653E-02   0.951651E+04
   0.484242E-02   0.965140E+04
   0.494024E-02   0.978705E+04
   0.504004E-02   0.992344E+04
   0.514186E-02   0.100605E+05
   0.524573E-02   0.101982E+05
   0.535170E-02   0.103365E+05
   0.545981E-02   0.104753E+05
   0.557011E-02   0.106145E+05
   0.568263E-02   0.107542E+05
   0.579743E-02   0.108943E+05
   0.591455E-02   0.110347E+05
   0.603403E-02   0.111754E+05
   0.615592E-02   0.113162E+05
   0.628028E-02   0.114572E+05
   0.640715E-02   0.115982E+05
   0.653658E-02   0.117392E+05
   0.666863E-02   0.118800E+05
   0.680335E-02   0.120206E+05
   0.694078E-02   0.121608E+05
   0.708100E-02   0.123007E+05
   0.722404E-02   0.124400E+05
   0.736998E-02   0.125788E+05
   0.751886E-02   0.127169E+05
   0.767075E-02   0.128543E+05
   0.782571E-02   0.129908E+05
   0.798380E-02   0.131263E+05
   0.814509E-02   0.132608E+05
   0.830963E-02   0.133941E+05
   0.847750E-02   0.135262E+05
   0.864875E-02   0.136569E+05
   0.882347E-02   0.137861E+05
   0.900171E-02   0.139136E+05
   0.918356E-02   0.140394E+05
   0.936908E-02   0.141632E+05
   0.955835E-02   0.142851E+05
   0.975144E-02   0.144047E+05
   0.994843E-02   0.145220E+05
   0.101494E-01   0.146369E+05
   0.103544E-01   0.147491E+05
   0.105636E-01   0.148586E+05
   0.107770E-01   0.149652E+05
   0.109947E-01   0.150686E+05
   0.112168E-01   0.151689E+05
   0.114434E-01   0.152658E+05
   0.116746E-01   0.153591E+05
   0.119104E-01   0.154487E+05
   0.121510E-01   0.155344E+05
   0.123965E-01   0.156161E+05
   0.126469E-01   0.156936E+05
   0.129024E-01   0.157666E+05
   0.131631E-01   0.158351E+05
   0.134290E-01   0.158988E+05
   0.137003E-01   0.159576E+05
   0.139770E-01   0.160113E+05
   0.142594E-01   0.160597E+05
   0.145474E-01   0.161027E+05
   0.148413E-01   0.161400E+05
   0.151411E-01   0.161715E+05
   0.154470E-01   0.161970E+05
   0.157590E-01   0.162164E+05
   0.160774E-01   0.162295E+05
   0.164022E-01   0.162362E+05
   0.167335E-01   0.162362E+05
   0.170716E-01   0.162294E+05
   0.174164E-01   0.162158E+05
   0.177683E-01   0.161951E+05
   0.181272E-01   0.161672E+05
   0.184934E-01   0.161321E+05
   0.188670E-01   0.160896E+05
   0.192481E-01   0.160396E+05
   0.196370E-01   0.159821E+05
   0.200337E-01   0.159169E+05
   0.204384E-01   0.158441E+05
   0.208513E-01   0.157636E+05
   0.212725E-01   0.156754E+05
   0.217022E-01   0.155794E+05
   0.221406E-01   0.154758E+05
   0.225879E-01   0.153646E+05
   0.230442E-01   0.152457E+05
   0.235097E-01   0.151195E+05
   0.239847E-01   0.149858E+05
   0.244692E-01   0.148450E+05
   0.249635E-01   0.146971E+05
   0.254678E-01   0.145424E+05
   0.259823E-01   0.143811E+05
   0.265072E-01   0.142134E+05
   0.270426E-01   0.140397E+05
   0.275889E-01   0.138602E+05
