#    L    TT             EE             TE             PP             TP          
    75   0.198054E+04   0.358048E+00  -0.763901E+01   0.487672E+07   0.787850E+04
    76   0.200667E+04   0.371093E+00  -0.811974E+01   0.484822E+07   0.776166E+04
    77   0.203298E+04   0.384309E+00  -0.861053E+01   0.481966E+07   0.764901E+04
    78   0.205944E+04   0.397686E+00  -0.911094E+01   0.479106E+07   0.754018E+04
    79   0.208610E+04   0.411215E+00  -0.962082E+01   0.476243E+07   0.743481E+04
    80   0.211296E+04   0.424889E+00  -0.101402E+02   0.473381E+07   0.733253E+04
    81   0.214005E+04   0.438698E+00  -0.106688E+02   0.470520E+07   0.723298E+04
    82   0.216737E+04   0.452632E+00  -0.112063E+02   0.467661E+07   0.713592E+04
    83   0.219492E+04   0.466679E+00  -0.117526E+02   0.464807E+07   0.704112E+04
    84   0.222270E+04   0.480828E+00  -0.123071E+02   0.461959E+07   0.694834E+04
    85   0.225070E+04   0.495068E+00  -0.128696E+02   0.459117E+07   0.685734E+04
    86   0.227893E+04   0.509388E+00  -0.134398E+02   0.456283E+07   0.676794E+04
    87   0.230735E+04   0.523778E+00  -0.140171E+02   0.453457E+07   0.668009E+04
    88   0.233595E+04   0.538228E+00  -0.146011E+02   0.450641E+07   0.659379E+04
    89   0.236472E+04   0.552728E+00  -0.151913E+02   0.447835E+07   0.650902E+04
    90   0.239367E+04   0.567263E+00  -0.157874E+02   0.445039E+07   0.642580E+04
    91   0.242281E+04   0.581823E+00  -0.163890E+02   0.442254E+07   0.634410E+04
    92   0.245213E+04   0.596394E+00  -0.169959E+02   0.439481E+07   0.626390E+04
    93   0.248166E+04   0.610964E+00  -0.176077E+02   0.436720E+07   0.618517E+04
    94   0.251138E+04   0.625521E+00  -0.182241E+02   0.433970E+07   0.610789E+04
    95   0.254132E+04   0.640051E+00  -0.188447E+02   0.431234E+07   0.603202E+04
    96   0.257146E+04   0.654542E+00  -0.194692E+02   0.428510E+07   0.595753E+04
    97   0.260181E+04   0.668980E+00  -0.200971E+02   0.425799E+07   0.588440E+04
    98   0.263237E+04   0.683353E+00  -0.207280E+02   0.423101E+07   0.581259E+04
    99   0.266313E+04   0.697647E+00  -0.213615E+02   0.420417E+07   0.574208E+04
   100   0.269410E+04   0.711851E+00  -0.219972E+02   0.417746E+07   0.567283E+04
   101   0.272528E+04   0.725954E+00  -0.226345E+02   0.415090E+07   0.560481E+04
   102   0.275666E+04   0.739933E+00  -0.232733E+02   0.412449E+07   0.553801E+04
   103   0.278823E+04   0.753792E+00  -0.239127E+02   0.409822E+07   0.547238E+04
   104   0.282000E+04   0.767501E+00  -0.245525E+02   0.407210E+07   0.540789E+04
   105   0.285195E+04   0.781055E+00  -0.251921E+02   0.404614E+07   0.534453E+04
   106   0.288408E+04   0.794441E+00  -0.258310E+02   0.402033E+07   0.528225E+04
   107   0.291639E+04   0.807653E+00  -0.264686E+02   0.399469E+07   0.522103E+04
   108   0.294886E+04   0.820670E+00  -0.271045E+02   0.396921E+07   0.516084E+04
   109   0.298150E+04   0.833487E+00  -0.277381E+02   0.394389E+07   0.510164E+04
   110   0.301430E+04   0.846083E+00  -0.283690E+02   0.391874E+07   0.504342E+04
   111   0.304724E+04   0.858451E+00  -0.289968E+02   0.389377E+07   0.498614E+04
   112   0.308034E+04   0.870585E+00  -0.296206E+02   0.386896E+07   0.492980E+04
   113   0.311357E+04   0.882463E+00  -0.302402E+02   0.384433E+07   0.487438E+04
   114   0.314694E+04   0.894069E+00  -0.308549E+02   0.381987E+07   0.481988E+04
   115   0.318043E+04   0.905404E+00  -0.314642E+02   0.379558E+07   0.476629E+04
   116   0.321405E+04   0.916452E+00  -0.320677E+02   0.377146E+07   0.471361E+04
   117   0.324779E+04   0.927193E+00  -0.326647E+02   0.374752E+07   0.466182E+04
   118   0.328163E+04   0.937624E+00  -0.332547E+02   0.372375E+07   0.461093E+04
   119   0.331557E+04   0.947733E+00  -0.338373E+02   0.370015E+07   0.456092E+04
   120   0.334960E+04   0.957510E+00  -0.344118E+02   0.367672E+07   0.451180E+04
   121   0.338372E+04   0.966942E+00  -0.349778E+02   0.365347E+07   0.446354E+04
