#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.138121E-03   0.197833E+08   0.197832E+08   0.240820E+08   0.240339E+08   0.197789E+08   0.197833E+08   0.197833E+08   0.197893E+08  -0.472990E+00   0.104448E+08   0.104448E+08   0.662949E+02
   0.152513E-03   0.197823E+08   0.197822E+08   0.236028E+08   0.235451E+08   0.197765E+08   0.197823E+08   0.197823E+08   0.197882E+08  -0.472961E+00   0.104443E+08   0.104443E+08   0.727829E+02
   0.168403E-03   0.197812E+08   0.197811E+08   0.230305E+08   0.229615E+08   0.197736E+08   0.197811E+08   0.197812E+08   0.197869E+08  -0.472927E+00   0.104437E+08   0.104436E+08   0.798065E+02
   0.185950E-03   0.197798E+08   0.197796E+08   0.223501E+08   0.222679E+08   0.197700E+08   0.197797E+08   0.197798E+08   0.197854E+08  -0.472886E+00   0.104429E+08   0.104429E+08   0.873760E+02
   0.205324E-03   0.197781E+08   0.197779E+08   0.215457E+08   0.214483E+08   0.197657E+08   0.197780E+08   0.197781E+08   0.197834E+08  -0.472835E+00   0.104420E+08   0.104419E+08   0.954887E+02
   0.226718E-03   0.197760E+08   0.197758E+08   0.206014E+08   0.204867E+08   0.197604E+08   0.197759E+08   0.197760E+08   0.197811E+08  -0.472775E+00   0.104409E+08   0.104408E+08   0.104124E+03
   0.250340E-03   0.197735E+08   0.197733E+08   0.195021E+08   0.193681E+08   0.197540E+08   0.197734E+08   0.197735E+08   0.197783E+08  -0.472701E+00   0.104395E+08   0.104395E+08   0.113237E+03
   0.276424E-03   0.197705E+08   0.197702E+08   0.182358E+08   0.180808E+08   0.197462E+08   0.197703E+08   0.197704E+08   0.197749E+08  -0.472613E+00   0.104379E+08   0.104378E+08   0.122752E+03
   0.305225E-03   0.197668E+08   0.197664E+08   0.167961E+08   0.166189E+08   0.197368E+08   0.197666E+08   0.197667E+08   0.197708E+08  -0.472507E+00   0.104359E+08   0.104358E+08   0.132553E+03
   0.337028E-03   0.197624E+08   0.197619E+08   0.151855E+08   0.149858E+08   0.197254E+08   0.197621E+08   0.197623E+08   0.197659E+08  -0.472381E+00   0.104335E+08   0.104334E+08   0.142475E+03
   0.372144E-03   0.197570E+08   0.197565E+08   0.134196E+08   0.131987E+08   0.197115E+08   0.197567E+08   0.197569E+08   0.197601E+08  -0.472229E+00   0.104306E+08   0.104305E+08   0.152296E+03
