#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.185928E-03   0.161704E+08   0.161702E+08   0.189592E+08   0.189005E+08   0.161618E+08   0.161703E+08   0.161703E+08   0.161769E+08  -0.533574E+00   0.116184E+08   0.116184E+08   0.109677E+03
   0.205300E-03   0.161690E+08   0.161689E+08   0.184284E+08   0.183584E+08   0.161580E+08   0.161689E+08   0.161690E+08   0.161754E+08  -0.533519E+00   0.116174E+08   0.116174E+08   0.120002E+03
   0.226690E-03   0.161674E+08   0.161672E+08   0.178003E+08   0.177171E+08   0.161534E+08   0.161673E+08   0.161674E+08   0.161735E+08  -0.533453E+00   0.116163E+08   0.116162E+08   0.131039E+03
   0.250309E-03   0.161654E+08   0.161652E+08   0.170619E+08   0.169637E+08   0.161478E+08   0.161653E+08   0.161654E+08   0.161712E+08  -0.533374E+00   0.116148E+08   0.116147E+08   0.142751E+03
   0.276388E-03   0.161630E+08   0.161628E+08   0.162011E+08   0.160860E+08   0.161410E+08   0.161629E+08   0.161630E+08   0.161685E+08  -0.533278E+00   0.116131E+08   0.116129E+08   0.155061E+03
   0.305184E-03   0.161601E+08   0.161598E+08   0.152076E+08   0.150740E+08   0.161327E+08   0.161599E+08   0.161601E+08   0.161652E+08  -0.533162E+00   0.116110E+08   0.116108E+08   0.167846E+03
   0.336981E-03   0.161566E+08   0.161562E+08   0.140755E+08   0.139220E+08   0.161226E+08   0.161564E+08   0.161565E+08   0.161613E+08  -0.533023E+00   0.116084E+08   0.116082E+08   0.180926E+03
   0.372091E-03   0.161523E+08   0.161519E+08   0.128052E+08   0.126314E+08   0.161105E+08   0.161521E+08   0.161523E+08   0.161565E+08  -0.532857E+00   0.116053E+08   0.116051E+08   0.194046E+03
   0.410858E-03   0.161472E+08   0.161467E+08   0.114075E+08   0.112137E+08   0.160957E+08   0.161469E+08   0.161471E+08   0.161509E+08  -0.532658E+00   0.116016E+08   0.116013E+08   0.206871E+03
   0.453665E-03   0.161411E+08   0.161405E+08   0.990633E+07   0.969481E+07   0.160779E+08   0.161407E+08   0.161410E+08   0.161441E+08  -0.532422E+00   0.115971E+08   0.115968E+08   0.218973E+03
   0.500932E-03   0.161337E+08   0.161330E+08   0.834296E+07   0.811795E+07   0.160563E+08   0.161332E+08   0.161336E+08   0.161361E+08  -0.532142E+00   0.115917E+08   0.115913E+08   0.229835E+03
   0.553123E-03   0.161249E+08   0.161240E+08   0.677714E+07   0.654539E+07   0.160303E+08   0.161243E+08   0.161247E+08   0.161266E+08  -0.531812E+00   0.115853E+08   0.115848E+08   0.238864E+03
   0.610752E-03   0.161144E+08   0.161134E+08   0.528569E+07   0.505654E+07   0.159990E+08   0.161137E+08   0.161142E+08   0.161155E+08  -0.531425E+00   0.115776E+08   0.115771E+08   0.245424E+03
   0.674386E-03   0.161018E+08   0.161007E+08   0.395514E+07   0.374000E+07   0.159615E+08   0.161010E+08   0.161017E+08   0.161024E+08  -0.530973E+00   0.115684E+08   0.115679E+08   0.248892E+03
