#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.128343E+04   0.152049E+01   0.900921E-03   0.152049E+01   0.724123E-01  -0.214308E-06   0.900921E-03  -0.214308E-06   0.137258E-06
    44   0.130233E+04   0.142030E+01   0.881965E-03   0.142030E+01   0.780979E-01  -0.311044E-06   0.881965E-03  -0.311044E-06   0.136880E-06
    45   0.132147E+04   0.130866E+01   0.863577E-03   0.130866E+01   0.840752E-01  -0.380475E-06   0.863577E-03  -0.380475E-06   0.136474E-06
    46   0.134081E+04   0.118522E+01   0.845763E-03   0.118522E+01   0.903516E-01  -0.395636E-06   0.845763E-03  -0.395636E-06   0.136044E-06
    47   0.136032E+04   0.104942E+01   0.828501E-03   0.104942E+01   0.969273E-01  -0.373809E-06   0.828501E-03  -0.373809E-06   0.135591E-06
    48   0.138000E+04   0.900656E+00   0.811765E-03   0.900656E+00   0.103794E+00  -0.343336E-06   0.811765E-03  -0.343336E-06   0.135117E-06
    49   0.139981E+04   0.738391E+00   0.795530E-03   0.738391E+00   0.110943E+00  -0.332560E-06   0.795530E-03  -0.332560E-06   0.134622E-06
    50   0.141982E+04   0.562223E+00   0.779770E-03   0.562223E+00   0.118376E+00  -0.369823E-06   0.779770E-03  -0.369823E-06   0.134110E-06
    51   0.144009E+04   0.372062E+00   0.764467E-03   0.372062E+00   0.126096E+00  -0.472996E-06   0.764467E-03  -0.472996E-06   0.133581E-06
    52   0.146056E+04   0.168862E+00   0.749632E-03   0.168862E+00   0.134109E+00  -0.618071E-06   0.749632E-03  -0.618071E-06   0.133037E-06
    53   0.148116E+04  -0.463753E-01   0.735285E-03  -0.463753E-01   0.142415E+00  -0.770569E-06   0.735285E-03  -0.770569E-06   0.132479E-06
    54   0.150188E+04  -0.273507E+00   0.721445E-03  -0.273507E+00   0.151018E+00  -0.896009E-06   0.721445E-03  -0.896009E-06   0.131907E-06
    55   0.152271E+04  -0.512759E+00   0.708131E-03  -0.512759E+00   0.159920E+00  -0.959914E-06   0.708131E-03  -0.959914E-06   0.131322E-06
    56   0.154375E+04  -0.765002E+00   0.695351E-03  -0.765002E+00   0.169120E+00  -0.938321E-06   0.695351E-03  -0.938321E-06   0.130726E-06
    57   0.156511E+04  -0.103112E+01   0.683061E-03  -0.103112E+01   0.178614E+00  -0.849343E-06   0.683061E-03  -0.849343E-06   0.130120E-06
    58   0.158676E+04  -0.131131E+01   0.671206E-03  -0.131131E+01   0.188400E+00  -0.721610E-06   0.671206E-03  -0.721610E-06   0.129503E-06
    59   0.160859E+04  -0.160549E+01   0.659730E-03  -0.160549E+01   0.198478E+00  -0.583752E-06   0.659730E-03  -0.583752E-06   0.128876E-06
