   1.0497607945580963E-005   3.1663939435455557E-015   3.1663939435455557E-015   1.6475964075536932E-014   1.9642358019082486E-014
   1.1591339898586732E-005   4.6756130135445553E-015   4.6756130135445553E-015   2.2180979073864164E-014   2.6856592087408720E-014
   1.2799026990251152E-005   6.9041824179474443E-015   6.9041824179474443E-015   2.9861436139417841E-014   3.6765618557365284E-014
   1.4132539945421730E-005   1.0194965750887974E-014   1.0194965750887974E-014   4.0201333021786308E-014   5.0396298772674283E-014
   1.5604990039719259E-005   1.5054256581260887E-014   1.5054256581260887E-014   5.4121556280337220E-014   6.9175812861598107E-014
   1.7230853700311858E-005   2.2229666902367325E-014   2.2229666902367325E-014   7.2861846657548634E-014   9.5091513559915952E-014
   1.9026114387088472E-005   3.2825143435019196E-014   3.2825143435019196E-014   9.8091211694649700E-014   1.3091635512966891E-013
   2.1008419935242280E-005   4.8470804000125114E-014   4.8470804000125114E-014   1.3205655352588843E-013   1.8052735752601354E-013
   2.3197258997242881E-005   7.1573753815652166E-014   7.1573753815652166E-014   1.7778284023927526E-013   2.4935659405492744E-013
   2.5614152036723674E-005   1.0568843940026277E-013   1.0568843940026277E-013   2.3934245313482572E-013   3.4503089253508848E-013
   2.8282855055294934E-005   1.5606337374111267E-013   1.5606337374111267E-013   3.2221780326165273E-013   4.7828117700276535E-013
   3.1229610613081618E-005   2.3044894257171680E-013   2.3044894257171680E-013   4.3378996060719068E-013   6.6423890317890748E-013
   3.4483382478356355E-005   3.4028932441025604E-013   3.4028932441025604E-013   5.8399531980478691E-013   9.2428464421504295E-013
   3.8076159398769946E-005   5.0248358454758817E-013   5.0248358454758817E-013   7.8621114823681373E-013   1.2886947327844018E-012
   4.2043262510560433E-005   7.4198549845980654E-013   7.4198549845980654E-013   1.0584467585863185E-012   1.8004322570461251E-012
   4.6423694584518691E-005   1.0956428935596378E-012   1.0956428935596378E-012   1.4249475867070801E-012   2.5205904802667177E-012
   5.1260518375784186E-005   1.6178663574443341E-012   1.6178663574443341E-012   1.9183540799239866E-012   3.5362204373683207E-012
   5.6601285905344405E-005   2.3890008539554086E-012   2.3890008539554086E-012   2.5826091336855672E-012   4.9716099876409754E-012
