   1.0497607945580963E-005   3.1663939435467031E-015   3.1663939435467031E-015   1.5636007688301422E-026   3.1663939435623391E-015   1.00000000    
   1.1591339898586732E-005   4.6756130135462498E-015   4.6756130135462498E-015   1.3456571996279037E-026   4.6756130135597062E-015   1.00000000    
   1.2799026990251152E-005   6.9041824179498480E-015   6.9041824179498480E-015   1.9818650813478073E-026   6.9041824179696665E-015   1.00000000    
   1.4132539945421730E-005   1.0194965750891379E-014   1.0194965750891379E-014   1.3255038133867142E-026   1.0194965750904633E-014   1.00000000    
   1.5604990039719259E-005   1.5054256581265809E-014   1.5054256581265809E-014   1.2306886837730807E-026   1.5054256581278116E-014   1.00000000    
   1.7230853700311858E-005   2.2229666902374513E-014   2.2229666902374513E-014   1.7266538811773050E-026   2.2229666902391779E-014   1.00000000    
   1.9026114387088472E-005   3.2825143435029578E-014   3.2825143435029578E-014   1.4467218980812430E-026   3.2825143435044042E-014   1.00000000    
   2.1008419935242280E-005   4.8470804000139926E-014   4.8470804000139926E-014   1.4740641069248776E-026   4.8470804000154668E-014   1.00000000    
   2.3197258997242881E-005   7.1573753815673787E-014   7.1573753815673787E-014   1.7419091338181164E-026   7.1573753815691205E-014   1.00000000    
   2.5614152036723674E-005   1.0568843940029357E-013   1.0568843940029357E-013   1.5088500748883364E-026   1.0568843940030865E-013   1.00000000    
   2.8282855055294934E-005   1.5606337374115758E-013   1.5606337374115758E-013   1.4284272298605313E-026   1.5606337374117186E-013   1.00000000    
   3.1229610613081618E-005   2.3044894257178067E-013   2.3044894257178067E-013   2.1524478604479753E-026   2.3044894257180217E-013   1.00000000    
   3.4483382478356355E-005   3.4028932441034793E-013   3.4028932441034793E-013   1.9380973227573905E-026   3.4028932441036731E-013   1.00000000    
   3.8076159398769946E-005   5.0248358454771853E-013   5.0248358454771853E-013   2.2996851970935308E-026   5.0248358454774155E-013   1.00000000    
   4.2043262510560433E-005   7.4198549845999365E-013   7.4198549845999365E-013   2.8698807048210668E-026   7.4198549846002232E-013   1.00000000    
   4.6423694584518691E-005   1.0956428935599026E-012   1.0956428935599026E-012   3.0346364788040431E-026   1.0956428935599329E-012   1.00000000    
   5.1260518375784186E-005   1.6178663574447192E-012   1.6178663574447192E-012   4.2522638441645847E-026   1.6178663574447618E-012   1.00000000    
   5.6601285905344405E-005   2.3890008539559603E-012   2.3890008539559603E-012   6.1552160912838658E-026   2.3890008539560217E-012   1.00000000    
   6.2498496845364544E-005   3.5276854059524644E-012   3.5276854059524644E-012   8.2946765900228676E-026   3.5276854059525472E-012   1.00000000    
   6.9010129664093242E-005   5.2091082120518789E-012   5.2091082120518789E-012   1.2809293027126279E-025   5.2091082120520074E-012   1.00000000    
   7.6200209150556434E-005   7.6919615070833054E-012   7.6919615070833054E-012   1.2939936474261850E-025   7.6919615070834347E-012   1.00000000    
   8.4139406681060791E-005   1.1358230429136585E-011   1.1358230429136585E-011   2.4828865978321778E-025   1.1358230429136834E-011   1.00000000    
   9.2905778728891164E-005   1.6771976738474769E-011   1.6771976738474769E-011   4.9172980589502042E-025   1.6771976738475260E-011   1.00000000    
   1.0258550901198752E-004   2.4766113309435392E-011   2.4766113309435392E-011   9.7492979404129912E-025   2.4766113309436367E-011   1.00022745    
   1.1327375977998591E-004   3.6570550059247771E-011   3.6570550059247771E-011   1.9394186548051755E-024   3.6570550059249710E-011  0.999686301    
   1.2507560313679289E-004   5.4001409739134784E-011   5.4001409739134784E-011   3.8731322829917603E-024   5.4001409739138655E-011  0.999766827    
   1.3810706150252369E-004   7.9740445853509803E-011   7.9740445853509803E-011   7.7408195547273820E-024   7.9740445853517545E-011  0.999996126    
   1.5249625721480703E-004   1.1774766490660296E-010   1.1774766490660296E-010   1.5485964268397034E-023   1.1774766490661844E-010   1.00011289    
   1.6838463488966221E-004   1.7387047822580094E-010   1.7387047822580094E-010   3.1030171999899169E-023   1.7387047822583196E-010  0.999808967    
   1.8592840933706603E-004   2.5674350769118703E-010   2.5674350769118703E-010   6.1998390451230792E-023   2.5674350769124901E-010   1.00003815    
   2.0530004985630496E-004   3.7911687744860006E-010   3.7911687744860006E-010   1.2406527929234901E-022   3.7911687744872414E-010  0.999819040    
   2.2668998281005773E-004   5.5981774885561211E-010   5.5981774885561211E-010   2.4827670758286607E-022   5.5981774885586036E-010  0.999822080    
   2.5030851247720415E-004   8.2664733061713064E-010   8.2664733061713064E-010   4.9686692581761783E-022   8.2664733061762746E-010  0.999842465    
   2.7638784376904352E-004   1.2206579515264168E-009   1.2206579515264168E-009   9.9434953886210752E-022   1.2206579515274111E-009  0.999831796    
   3.0518430867232361E-004   1.8024676594461490E-009   1.8024676594461490E-009   1.9899813794713292E-021   1.8024676594481390E-009  0.999880135    
   3.3698105835355824E-004   2.6615895646556444E-009   2.6615895646556444E-009   3.9824735912676179E-021   2.6615895646596269E-009  0.999812365    
   3.7209066795185214E-004   3.9302002834041476E-009   3.9302002834041476E-009   7.9700927441465628E-021   3.9302002834121175E-009  0.999728739    
   4.1085830889642222E-004   5.8034775941613390E-009   5.8034775941613390E-009   1.5949827907236151E-020   5.8034775941772887E-009  0.999692678    
   4.5366509584710002E-004   8.5696271488156505E-009   8.5696271488156505E-009   3.1919730238110335E-020   8.5696271488475697E-009  0.999666154    
   5.0093187019228914E-004   1.2654225143745511E-008   1.2654225143745511E-008   6.3879423435290493E-020   1.2654225143809390E-008  0.999583662    
   5.5312330368906249E-004   1.8685691478916343E-008   1.8685691478916343E-008   1.2783909335445538E-019   1.8685691479044182E-008  0.999471664    
   6.1075249686837186E-004   2.7591975672058299E-008   2.7591975672058299E-008   2.5583853925966428E-019   2.7591975672314136E-008  0.999390602    
   6.7438598489388834E-004   4.0743317103545478E-008   4.0743317103545478E-008   5.1199796744015216E-019   4.0743317104057476E-008  0.999237478    
   7.4464938370510947E-004   6.0163074437299842E-008   6.0163074437299842E-008   1.0246380931290981E-018   6.0163074438324474E-008  0.999074340    
   8.2223338540643454E-004   8.8838978517656263E-008   8.8838978517656263E-008   2.0505579684271528E-018   8.8838978519706824E-008  0.998877287    
   9.0790080139413443E-004   1.3118288341652826E-007   1.3118288341652826E-007   4.1036816133988181E-018   1.3118288342063195E-007  0.998626947    
   1.0024937801063061E-003   1.9370943167071616E-007   1.9370943167071616E-007   8.2124904466999481E-018   1.9370943167892865E-007  0.998327613    
   1.1069423053413627E-003   2.8597592264983240E-007   2.8597592264983240E-007   1.6435230553922832E-017   2.8597592266626765E-007  0.997962832    
   1.2222731020301583E-003   4.2195134428644854E-007   4.2195134428644854E-007   3.2890920730895052E-017   4.2195134431933946E-007  0.997512519    
   1.3496201718226077E-003   6.2217228668753940E-007   6.2217228668753940E-007   6.5822735667376021E-017   6.2217228675336211E-007  0.996967435    
   1.4902353286743162E-003   9.1672313663377082E-007   9.1672313663377082E-007   1.3172708124628597E-016   9.1672313676549789E-007  0.996305227    
   1.6455008881166577E-003   1.3495899124673722E-006   1.3495899124673722E-006   2.6361679964464919E-016   1.3495899127309890E-006  0.995495677    
   1.8169435206800699E-003   1.9849510902938356E-006   1.9849510902938356E-006   5.2755820309309074E-016   1.9849510908213940E-006  0.994512200    
   2.0062483381479974E-003   2.9163233376077184E-006   2.9163233376077184E-006   1.0557620619884445E-015   2.9163233386634806E-006  0.993314862    
   2.2152769379317752E-003   4.2795214215816770E-006   4.2795214215816770E-006   2.1128111572870990E-015   4.2795214236944880E-006  0.991855323    
   2.4460835848003626E-003   6.2714993350305887E-006   6.2714993350305887E-006   4.2281748677746014E-015   6.2714993392587637E-006  0.990076721    
   2.7009379118680945E-003   9.1769721345771576E-006   9.1769721345771576E-006   8.4614178778584980E-015   9.1769721430385762E-006  0.987915039    
   2.9823449440300460E-003   1.3406060892270862E-005   1.3406060892270862E-005   1.6932856574461635E-014   1.3406060909203718E-005  0.985285401    
   3.2930714078247538E-003   1.9548506507712488E-005   1.9548506507712488E-005   3.3885498212741338E-014   1.9548506541597987E-005  0.982088983    
   3.6361722741276017E-003   2.8447484375687245E-005   2.8447484375687245E-005   6.7809963935512840E-014   2.8447484443497210E-005  0.978204668    
   4.0150200948119172E-003   4.1306155053201758E-005   4.1306155053201758E-005   1.3569622675184692E-013   4.1306155188897988E-005  0.973490596    
   4.4333399273455134E-003   5.9832209597835086E-005   5.9832209597835086E-005   2.7154137425738973E-013   5.9832209869376461E-005  0.967774034    
   4.8952437937259674E-003   8.6435729918857380E-005   8.6435729918857380E-005   5.4337105162947981E-013   8.6435730462228433E-005  0.960848749    
   5.4052728228271025E-003   1.2450901875134379E-004   1.2450901875134379E-004   1.0872956878012339E-012   1.2450901983863949E-004  0.952473581    
   5.9684407897293550E-003   1.7878001946197591E-004   1.7878001946197591E-004   2.1756410261793855E-012   1.7878002163761693E-004  0.942360938    
   6.5902848728001144E-003   2.5582411470116175E-004   2.5582411470116175E-004   4.3532456905562084E-012   2.5582411905440743E-004  0.930177271    
   7.2769178077578519E-003   3.6466159124861984E-004   3.6466159124861984E-004   8.7100790978010456E-012   3.6466159995869894E-004  0.915537417    
   8.0350907519459707E-003   5.1758764139259378E-004   5.1758764139259378E-004   1.7426518491869330E-011   5.1758765881911224E-004  0.898001909    
   8.8722556829452532E-003   7.3129794740179244E-004   7.3129794740179244E-004   3.4863715354507944E-011   7.3129798226550776E-004  0.877081215    
   9.7966445609927195E-003   1.0279715192809474E-003   1.0279715192809474E-003   6.9743917927854880E-011   1.0279715890248653E-003  0.852241278    
   1.0817344300448895E-002   1.4368716743860389E-003   1.4368716743860389E-003   1.3950882088606911E-010   1.4368718138948599E-003  0.822921991    
   1.1944388970732692E-002   1.9958903480057208E-003   1.9958903480057208E-003   2.7903028875351406E-010   1.9958906270360097E-003  0.788565278    
   1.3188858516514300E-002   2.7529074376928908E-003   2.7529074376928908E-003   5.5801446948187131E-010   2.7529079957073601E-003  0.748662353    
   1.4562988653779026E-002   3.7676815034105734E-003   3.7676815034105734E-003   1.1157634448065806E-009   3.7676826191740181E-003  0.702823162    
   1.6080286353826523E-002   5.1112356554606090E-003   5.1112356554606090E-003   2.2305716846383534E-009   5.1112378860322938E-003  0.650871515    
   1.7755670472979553E-002   6.8663894200754333E-003   6.8663894200754333E-003   4.4582048019901395E-009   6.8663938782802351E-003  0.592967987    
   1.9605610519647595E-002   9.1245112815233620E-003   9.1245112815233620E-003   8.9080263592690406E-009   9.1245201895497220E-003  0.529754579    
   2.1648293361067772E-002   1.1978853855397860E-002   1.1978853855397860E-002   1.7793193505083451E-008   1.1978871648591365E-002  0.462501645    
   2.3903800174593925E-002   1.5523375154639002E-002   1.5523375154639002E-002   3.5525864930173274E-008   1.5523410680503932E-002  0.393220961    
   2.6394305750727654E-002   1.9838900367253935E-002   1.9838900367253935E-002   7.0894807976613002E-008   1.9838971262061911E-002  0.324681282    
   2.9144294559955593E-002   2.5003044920263034E-002   2.5003044920263034E-002   1.4138882172514087E-007   2.5003186309084758E-002  0.260243654    
   3.2180801033973701E-002   3.1102281985975054E-002   3.1102281985975054E-002   2.8176571257944319E-007   3.1102563751687632E-002  0.203429744    
   3.5533674061298370E-002   3.8270836203364869E-002   3.8270836203364869E-002   5.6099940484232383E-007   3.8271397202769709E-002  0.157188118    
   3.9235882461071007E-002   4.6786015863420606E-002   4.6786015863420606E-002   1.1157126780691331E-006   4.6787131576098678E-002  0.122961029    
   4.3323814868927002E-002   5.7163993641080192E-002   5.7163993641080192E-002   2.2159151026418106E-006   5.7166209556182832E-002   9.98881757E-02
   4.7656197100877769E-002   6.9677964998447764E-002   6.9677964998447764E-002   4.2800977542643454E-006   6.9682245096202022E-002   8.52055475E-02
   5.1988579332828529E-002   8.4333848280652005E-002   8.4333848280652005E-002   7.7941533632293920E-006   8.4341642434015235E-002   7.47788176E-02
   5.6320961564779275E-002  0.10124271880392625       0.10124271880392625        1.3506578147476199E-005  0.10125622538207373        6.54103532E-02
   6.0653343796730055E-002  0.12026785907002999       0.12026785907002999        2.2435152339635492E-005  0.12029029422236963        5.62740304E-02
   6.4985722303390517E-002  0.14096081090549045       0.14096081090549045        3.5926482756178580E-005  0.14099673738824664        4.78749387E-02
   6.9318108260631561E-002  0.16242200039482599       0.16242200039482599        5.5720505908191541E-005  0.16247772090073417        4.09623869E-02
   7.3650486767292023E-002  0.18330287068980780       0.18330287068980780        8.4018692014989441E-005  0.18338688938182279        3.58433463E-02
   7.7982872724533067E-002  0.20244311329644996       0.20244311329644996        1.2355568673453007E-004  0.20256666898318448        3.22342850E-02
   8.2315251231193529E-002  0.21935023086559188       0.21935023086559188        1.7767200093587272E-004  0.21952790286652776        2.95114666E-02
   8.6647629737854004E-002  0.23418642747386301       0.23418642747386301        2.5038809438038305E-004  0.23443681556824339        2.70849057E-02
   9.0980015695095062E-002  0.24759020989242098       0.24759020989242098        3.4647715863978082E-004  0.24793668705106076        2.46535577E-02
   9.6368782222270966E-002  0.26394235649136749       0.26394235649136749        5.0713764423584377E-004  0.26444949413560331        2.16717999E-02
  0.10175754129886626       0.28229861817622237       0.28229861817622237        7.2538835081748128E-004  0.28302400652703985        1.90898739E-02
  0.10714630782604216       0.30520348194496050       0.30520348194496050        1.0162528696022308E-003  0.30621973481456272        1.71488449E-02
  0.11253507435321806       0.33384126238363582       0.33384126238363582        1.3972286291261782E-003  0.33523849101276199        1.57335475E-02
  0.11792384088039397       0.36765375604908118       0.36765375604908118        1.8884190920358986E-003  0.36954217514111709        1.45293633E-02
  0.12331259995698926       0.40428898189778756       0.40428898189778756        2.5126317278512202E-003  0.40680161362563877        1.33148553E-02
  0.12870137393474582       0.44039357515118660       0.44039357515118660        3.2954454780944227E-003  0.44368902062928101        1.20983403E-02
  0.13409014046192172       0.47277686584344181       0.47277686584344181        4.2652233284987935E-003  0.47704208917194058        1.10221328E-02
