   1.0497607945580963E-005   3.1663939435455557E-015   3.1663939435455557E-015   1.0700575760504622E-013   1.1017215154859178E-013
   1.1591339898586732E-005   4.6756130135445553E-015   4.6756130135445553E-015   1.4405788088264950E-013   1.4873349389619406E-013
   1.2799026990251152E-005   6.9041824179474443E-015   6.9041824179474443E-015   1.9393980896335034E-013   2.0084399138129777E-013
   1.4132539945421730E-005   1.0194965750887974E-014   1.0194965750887974E-014   2.6109392306312231E-013   2.7128888881401029E-013
   1.5604990039719259E-005   1.5054256581260887E-014   1.5054256581260887E-014   3.5150101723882887E-013   3.6655527382008977E-013
   1.7230853700311858E-005   2.2229666902367325E-014   2.2229666902367325E-014   4.7321280055896302E-013   4.9544246746133032E-013
   1.9026114387088472E-005   3.2825143435019196E-014   3.2825143435019196E-014   6.3706890678206939E-013   6.6989405021708857E-013
   2.1008419935242280E-005   4.8470804000125114E-014   4.8470804000125114E-014   8.5766219760882357E-013   9.0613300160894870E-013
   2.3197258997242881E-005   7.1573753815652166E-014   7.1573753815652166E-014   1.1546387090021271E-012   1.2262124628177792E-012
   2.5614152036723674E-005   1.0568843940026277E-013   1.0568843940026277E-013   1.5544474609998000E-012   1.6601359004000627E-012
   2.8282855055294934E-005   1.5606337374111267E-013   1.5606337374111267E-013   2.0926945454463944E-012   2.2487579191875071E-012
   3.1229610613081618E-005   2.3044894257171680E-013   2.3044894257171680E-013   2.8173175884229948E-012   3.0477665309947117E-012
   3.4483382478356355E-005   3.4028932441025604E-013   3.4028932441025604E-013   3.7928500782723382E-012   4.1331394026825943E-012
   3.8076159398769946E-005   5.0248358454758817E-013   5.0248358454758817E-013   5.1061727962569551E-012   5.6086563808045432E-012
   4.2043262510560433E-005   7.4198549845980654E-013   7.4198549845980654E-013   6.8742500753142420E-012   7.6162355737740482E-012
   4.6423694584518691E-005   1.0956428935596378E-012   1.0956428935596378E-012   9.2545477377841615E-012   1.0350190631343799E-011
   5.1260518375784186E-005   1.6178663574443341E-012   1.6178663574443341E-012   1.2459054337329146E-011   1.4076920694773480E-011
   5.6601285905344405E-005   2.3890008539554086E-012   2.3890008539554086E-012   1.6773163966657301E-011   1.9162164820612708E-011
   6.2498496845364544E-005   3.5276854059516873E-012   3.5276854059516873E-012   2.2581083149876102E-011   2.6108768555827790E-011
   6.9010129664093242E-005   5.2091082120507690E-012   5.2091082120507690E-012   3.0400069990092174E-011   3.5609178202142945E-011
   7.6200209150556434E-005   7.6919615070817480E-012   7.6919615070817480E-012   4.0926494123467149E-011   4.8618455630548901E-011
   8.4139406681060791E-005   1.1358230429134365E-011   1.1358230429134365E-011   5.5097810797899755E-011   6.6456041227034122E-011
   9.2905778728891164E-005   1.6771976738471551E-011   1.6771976738471551E-011   7.4176133474695799E-011   9.0948110213167353E-011
   1.0258550901198752E-004   2.4766113309430904E-011   2.4766113309430904E-011   9.9860574629898864E-011   1.2462668793932978E-010
   1.1327375977998591E-004   3.6570550059241277E-011   3.6570550059241277E-011   1.3443857786681565E-010   1.7100912792605693E-010
   1.2507560313679289E-004   5.4001409739125957E-011   5.4001409739125957E-011   1.8098964745103010E-010   2.3499105719015607E-010
   1.3810706150252369E-004   7.9740445853497331E-011   7.9740445853497331E-011   2.4365959938768125E-010   3.2340004524117860E-010
   1.5249625721480703E-004   1.1774766490658540E-010   1.1774766490658540E-010   3.2802986088496140E-010   4.4577752579154683E-010
   1.6838463488966221E-004   1.7387047822577563E-010   1.7387047822577563E-010   4.4161433135856050E-010   6.1548480958433611E-010
   1.8592840933706603E-004   2.5674350769115146E-010   2.5674350769115146E-010   5.9452887255414466E-010   8.5127238024529612E-010
   2.0530004985630496E-004   3.7911687744855291E-010   3.7911687744855291E-010   8.0039204288259379E-010   1.1795089203311468E-009
   2.2668998281005773E-004   5.5981774885554448E-010   5.5981774885554448E-010   1.0775376407053460E-009   1.6373553895608905E-009
   2.5030851247720415E-004   8.2664733061703965E-010   8.2664733061703965E-010   1.4506484646212415E-009   2.2772957952382813E-009
   2.7638784376904352E-004   1.2206579515262911E-009   1.2206579515262911E-009   1.9529537385632089E-009   3.1736116900894997E-009
   3.0518430867232361E-004   1.8024676594459761E-009   1.8024676594459761E-009   2.6291875136420621E-009   4.4316551730880383E-009
