   1.0497607945580963E-005   3.1663939435455557E-015   3.1663939435455557E-015   3.9016857665249126E-014   4.2183251608794680E-014
   1.1591339898586732E-005   4.6756130135445553E-015   4.6756130135445553E-015   5.2526947705949288E-014   5.7202560719493846E-014
   1.2799026990251152E-005   6.9041824179474443E-015   6.9041824179474443E-015   7.0715096414071057E-014   7.7619278832018506E-014
   1.4132539945421730E-005   1.0194965750887974E-014   1.0194965750887974E-014   9.5201086945390152E-014   1.0539605269627812E-013
   1.5604990039719259E-005   1.5054256581260887E-014   1.5054256581260887E-014   1.2816568427364526E-013   1.4321994085490616E-013
   1.7230853700311858E-005   2.2229666902367325E-014   2.2229666902367325E-014   1.7254471371694170E-013   1.9477438061930903E-013
   1.9026114387088472E-005   3.2825143435019196E-014   3.2825143435019196E-014   2.3229057204039143E-013   2.6511571547541060E-013
   2.1008419935242280E-005   4.8470804000125114E-014   4.8470804000125114E-014   3.1272416590898703E-013   3.6119496990911217E-013
   2.3197258997242881E-005   7.1573753815652166E-014   7.1573753815652166E-014   4.2100891027449542E-013   4.9258266409014762E-013
   2.5614152036723674E-005   1.0568843940026277E-013   1.0568843940026277E-013   5.6678875091591647E-013   6.7247719031617928E-013
   2.8282855055294934E-005   1.5606337374111267E-013   1.5606337374111267E-013   7.6304652117300879E-013   9.1910989491412145E-013
   3.1229610613081618E-005   2.3044894257171680E-013   2.3044894257171680E-013   1.0272613530855382E-012   1.2577102956572550E-012
   3.4483382478356355E-005   3.4028932441025604E-013   3.4028932441025604E-013   1.3829638232718991E-012   1.7232531476821553E-012
   3.8076159398769946E-005   5.0248358454758817E-013   5.0248358454758817E-013   1.8618326869948680E-012   2.3643162715424562E-012
   4.2043262510560433E-005   7.4198549845980654E-013   7.4198549845980654E-013   2.5065159365893357E-012   3.2485014350491424E-012
   4.6423694584518691E-005   1.0956428935596378E-012   1.0956428935596378E-012   3.3744293757922963E-012   4.4700722693519339E-012
   5.1260518375784186E-005   1.6178663574443341E-012   1.6178663574443341E-012   4.5428690997861947E-012   6.1607354572305288E-012
   5.6601285905344405E-005   2.3890008539554086E-012   2.3890008539554086E-012   6.1158966183712269E-012   8.5048974723266351E-012
   6.2498496845364544E-005   3.5276854059516873E-012   3.5276854059516873E-012   8.2336036796319276E-012   1.1761289085583615E-011
   6.9010129664093242E-005   5.2091082120507690E-012   5.2091082120507690E-012   1.1084593527696410E-011   1.6293701739747179E-011
   7.6200209150556434E-005   7.6919615070817480E-012   7.6919615070817480E-012   1.4922778776791377E-011   2.2614740283873125E-011
   8.4139406681060791E-005   1.1358230429134365E-011   1.1358230429134365E-011   2.0089981940473270E-011   3.1448212369607634E-011
   9.2905778728891164E-005   1.6771976738471551E-011   1.6771976738471551E-011   2.7046395498123450E-011   4.3818372236595001E-011
   1.0258550901198752E-004   2.4766113309430904E-011   2.4766113309430904E-011   3.6411555515735272E-011   6.1177668825166182E-011
   1.1327375977998591E-004   3.6570550059241277E-011   3.6570550059241277E-011   4.9019528205444336E-011   8.5590078264685613E-011
   1.2507560313679289E-004   5.4001409739125957E-011   5.4001409739125957E-011   6.5993166257114141E-011   1.1999457599624010E-010
   1.3810706150252369E-004   7.9740445853497331E-011   7.9740445853497331E-011   8.8844136717071677E-011   1.6858458257056899E-010
