   1.0497607945580963E-005   3.1663939435455557E-015   3.1663939435455557E-015   6.2372881794024650E-017   3.2287668253395805E-015
   1.1591339898586732E-005   4.6756130135445553E-015   4.6756130135445553E-015   8.3972196244697423E-017   4.7595852097892524E-015
   1.2799026990251152E-005   6.9041824179474443E-015   6.9041824179474443E-015   1.1304711157802852E-016   7.0172295295254725E-015
   1.4132539945421730E-005   1.0194965750887974E-014   1.0194965750887974E-014   1.5219405420372550E-016   1.0347159805091699E-014
   1.5604990039719259E-005   1.5054256581260887E-014   1.5054256581260887E-014   2.0489251713091804E-016   1.5259149098391804E-014
   1.7230853700311858E-005   2.2229666902367325E-014   2.2229666902367325E-014   2.7584242014505665E-016   2.2505509322512381E-014
   1.9026114387088472E-005   3.2825143435019196E-014   3.2825143435019196E-014   3.7135591632727655E-016   3.3196499351346473E-014
   2.1008419935242280E-005   4.8470804000125114E-014   4.8470804000125114E-014   4.9994367960268717E-016   4.8970747679727802E-014
   2.3197258997242881E-005   7.1573753815652166E-014   7.1573753815652166E-014   6.7305655644305533E-016   7.2246810372095227E-014
   2.5614152036723674E-005   1.0568843940026277E-013   1.0568843940026277E-013   9.0611322033895919E-016   1.0659455262060172E-013
   2.8282855055294934E-005   1.5606337374111267E-013   1.5606337374111267E-013   1.2198674708694357E-015   1.5728324121198210E-013
   3.1229610613081618E-005   2.3044894257171680E-013   2.3044894257171680E-013   1.6422639334725177E-015   2.3209120650518932E-013
   3.4483382478356355E-005   3.4028932441025604E-013   3.4028932441025604E-013   2.2109224325628403E-015   3.4250024684281886E-013
   3.8076159398769946E-005   5.0248358454758817E-013   5.0248358454758817E-013   2.9764835256320038E-015   5.0546006807322014E-013
   4.2043262510560433E-005   7.4198549845980654E-013   7.4198549845980654E-013   4.0071350894328886E-015   7.4599263354923943E-013
   4.6423694584518691E-005   1.0956428935596378E-012   1.0956428935596378E-012   5.3946572456067434E-015   1.1010375508052445E-012
   5.1260518375784186E-005   1.6178663574443341E-012   1.6178663574443341E-012   7.2626277573731601E-015   1.6251289852017071E-012
   5.6601285905344405E-005   2.3890008539554086E-012   2.3890008539554086E-012   9.7774114697103186E-015   2.3987782654251189E-012
   6.2498496845364544E-005   3.5276854059516873E-012   3.5276854059516873E-012   1.3162972031954806E-014   3.5408483779836422E-012
   6.9010129664093242E-005   5.2091082120507690E-012   5.2091082120507690E-012   1.7720818279314802E-014   5.2268290303300838E-012
   7.6200209150556434E-005   7.6919615070817480E-012   7.6919615070817480E-012   2.3856898078336771E-014   7.7158184051600852E-012
   8.4139406681060791E-005   1.1358230429134365E-011   1.1358230429134365E-011   3.2117640018027209E-014   1.1390348069152392E-011
   9.2905778728891164E-005   1.6771976738471551E-011   1.6771976738471551E-011   4.3238798763042664E-014   1.6815215537234592E-011
   1.0258550901198752E-004   2.4766113309430904E-011   2.4766113309430904E-011   5.8210789488737362E-014   2.4824324098919640E-011
   1.1327375977998591E-004   3.6570550059241277E-011   3.6570550059241277E-011   7.8367038056690045E-014   3.6648917097297965E-011
   1.2507560313679289E-004   5.4001409739125957E-011   5.4001409739125957E-011   1.0550263400430936E-013   5.4106912373130268E-011
   1.3810706150252369E-004   7.9740445853497331E-011   7.9740445853497331E-011   1.4203425286379991E-013   7.9882480106361129E-011
   1.5249625721480703E-004   1.1774766490658540E-010   1.1774766490658540E-010   1.9121547613238247E-013   1.1793888038271779E-010
   1.6838463488966221E-004   1.7387047822577563E-010   1.7387047822577563E-010   2.5742629869522152E-013   1.7412790452447085E-010
   1.8592840933706603E-004   2.5674350769115146E-010   2.5674350769115146E-010   3.4656344056758855E-013   2.5709007113171904E-010
   2.0530004985630496E-004   3.7911687744855291E-010   3.7911687744855291E-010   4.6656558196466716E-013   3.7958344303051759E-010
   2.2668998281005773E-004   5.5981774885554448E-010   5.5981774885554448E-010   6.2811985579453627E-013   5.6044586871133901E-010
   2.5030851247720415E-004   8.2664733061703965E-010   8.2664733061703965E-010   8.4561434749718063E-013   8.2749294496453679E-010
   2.7638784376904352E-004   1.2206579515262911E-009   1.2206579515262911E-009   1.1384194270267015E-012   1.2217963709533178E-009
   3.0518430867232361E-004   1.8024676594459761E-009   1.8024676594459761E-009   1.5326113485112300E-012   1.8040002707944873E-009
   3.3698105835355824E-004   2.6615895646554083E-009   2.6615895646554083E-009   2.0632977578204165E-012   2.6636528624132286E-009
   3.7209066795185214E-004   3.9302002834038267E-009   3.9302002834038267E-009   2.7777408256427063E-012   3.9329780242294693E-009
   4.1085830889642222E-004   5.8034775941609064E-009   5.8034775941609064E-009   3.7395690941605224E-012   5.8072171632550673E-009
   4.5366509584710002E-004   8.5696271488151029E-009   8.5696271488151029E-009   5.0344425659776123E-012   8.5746615913810811E-009
   5.0093187019228914E-004   1.2654225143744793E-008   1.2654225143744793E-008   6.7776819103550380E-012   1.2661002825655148E-008
   5.5312330368906249E-004   1.8685691478915413E-008   1.8685691478915413E-008   9.1245396848807088E-012   1.8694816018600295E-008
